Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,13.439,13.586,13.317,13.448,13.448,1.04%,54747900
2015/3/25,13.218,13.239,12.847,12.953,12.953,-3.68%,85955835
2015/3/26,12.928,12.986,12.647,12.694,12.694,-2.00%,61919340
2015/3/27,12.605,12.619,12.093,12.333,12.333,-2.84%,129074205
2015/3/30,12.39,12.817,12.12,12.705,12.705,3.02%,151342740
2015/3/31,12.902,12.917,12.561,12.585,12.585,-0.94%,75398535
2015/4/1,12.58,12.82,12.403,12.506,12.506,-0.63%,56919315
2015/4/2,12.682,12.882,12.667,12.733,12.733,1.82%,75155520
2015/4/6,13.2,13.85,13.167,13.54,13.54,6.34%,186837165
2015/4/7,13.501,13.671,13.409,13.55,13.55,0.07%,65217960
2015/4/8,13.88,14.06,13.725,13.845,13.845,2.18%,94546755
2015/4/9,13.895,14.025,13.741,14.006,14.006,1.16%,57003375
2015/4/10,13.99,14.11,13.933,14.06,14.06,0.39%,61015140
2015/4/13,14.029,14.2,13.937,13.985,13.985,-0.53%,56373450
2015/4/14,13.905,13.966,13.7,13.831,13.831,-1.10%,45389445
2015/4/15,13.831,13.973,13.773,13.855,13.855,0.17%,29285670
2015/4/16,13.847,13.945,13.753,13.78,13.78,-0.54%,24885885
2015/4/17,13.666,13.792,13.567,13.786,13.786,0.04%,37048890
2015/4/20,13.785,13.857,13.59,13.685,13.685,-0.73%,38388765
2015/4/21,13.72,14.05,13.621,13.961,13.961,2.02%,51488115
2015/4/22,14.167,14.792,14.113,14.629,14.629,4.78%,117945555
2015/4/23,14.551,14.765,14.477,14.573,14.573,-0.38%,66167760
2015/4/24,14.7,14.72,14.534,14.562,14.562,-0.08%,36417645
2015/4/27,14.837,15.917,14.8,15.437,15.437,6.01%,175089405
2015/4/28,15.65,15.7,15.202,15.365,15.365,-0.47%,91280685
2015/4/29,15.337,15.665,15.175,15.497,15.497,0.86%,59041155
2015/4/30,15.359,15.526,15.011,15.07,15.07,-2.76%,58677855
2015/5/1,15.329,15.451,14.694,15.069,15.069,-0.01%,79225335
2015/5/4,15.212,15.649,15.141,15.367,15.367,1.98%,66518940
2015/5/5,15.851,15.967,15.275,15.53,15.53,1.06%,86953095
2015/5/6,15.607,15.631,15.213,15.362,15.362,-1.08%,79063995
2015/5/7,14.733,15.832,14.683,15.787,15.787,2.77%,141838635
2015/5/8,15.733,15.894,15.58,15.774,15.774,-0.08%,70023540
2015/5/11,15.753,16.192,15.687,15.966,15.966,1.22%,85083930
2015/5/12,16.007,16.423,15.879,16.316,16.316,2.19%,95451435
2015/5/13,16.507,16.553,16.15,16.212,16.212,-0.64%,81602475
2015/5/14,16.321,16.326,16.083,16.273,16.273,0.38%,43439040
2015/5/15,16.262,16.627,16.167,16.589,16.589,1.94%,67913445
2015/5/18,16.467,16.66,16.4,16.583,16.583,-0.04%,50298180
2015/5/19,16.562,16.733,16.41,16.476,16.476,-0.65%,55113465
2015/5/20,16.475,16.516,16.091,16.29,16.29,-1.13%,56333535
2015/5/21,16.202,16.441,16.157,16.375,16.375,0.52%,29559645
2015/5/22,16.359,16.573,16.334,16.515,16.515,0.85%,33346335
2015/5/26,16.512,16.8,16.433,16.497,16.497,-0.11%,52480230
2015/5/27,16.567,16.633,16.37,16.495,16.495,-0.01%,51123000
2015/5/28,16.469,16.787,16.337,16.763,16.763,1.62%,54709245
2015/5/29,16.733,16.858,16.629,16.72,16.72,-0.26%,56839245
2015/6/1,16.761,16.773,16.498,16.63,16.63,-0.54%,37575855
2015/6/2,16.595,16.627,16.42,16.557,16.557,-0.44%,32022135
2015/6/3,16.547,16.715,16.467,16.599,16.599,0.25%,26722575
2015/6/4,16.5,16.62,16.381,16.395,16.395,-1.23%,36804225
2015/6/5,16.4,16.647,16.379,16.609,16.609,1.31%,45330390
2015/6/8,16.723,17.25,16.687,17.086,17.086,2.87%,75254955
2015/6/9,17.027,17.183,16.943,17.067,17.067,-0.11%,39167190
2015/6/10,16.793,16.933,16.567,16.713,16.713,-2.07%,51816795
2015/6/11,16.884,16.958,16.695,16.761,16.761,0.29%,30660870
2015/6/12,16.681,16.897,16.681,16.713,16.713,-0.29%,21335025
2015/6/15,16.647,16.752,16.401,16.692,16.692,-0.13%,32792625
2015/6/16,16.675,16.896,16.606,16.875,16.875,1.10%,29770170
2015/6/17,16.811,17.624,16.801,17.361,17.361,2.88%,82693800
2015/6/18,17.467,17.564,17.335,17.459,17.459,0.56%,41740545
2015/6/19,17.493,17.587,17.34,17.501,17.501,0.24%,36945195
2015/6/22,17.477,17.627,17.046,17.319,17.319,-1.04%,68416185
2015/6/23,17.355,17.867,17.238,17.845,17.845,3.04%,58062270
2015/6/24,17.799,17.823,17.581,17.678,17.678,-0.94%,36184395
2015/6/25,17.763,18.094,17.683,17.919,17.919,1.36%,42738060
2015/6/26,17.926,17.941,17.733,17.806,17.806,-0.63%,57576510
2015/6/29,17.463,17.73,17.38,17.468,17.468,-1.90%,52183635
2015/6/30,17.653,18.061,17.6,17.884,17.884,2.38%,46304025
2015/7/1,18.074,18.175,17.857,17.943,17.943,0.33%,31518360
2015/7/2,18.68,18.83,18.221,18.668,18.668,4.04%,107458950
2015/7/6,18.592,18.779,18.42,18.648,18.648,-0.11%,61828995
2015/7/7,18.333,18.347,17.385,17.859,17.859,-4.23%,91576890
2015/7/8,17.288,17.387,16.954,16.997,16.997,-4.83%,93316155
2015/7/9,17.272,17.53,17.119,17.195,17.195,1.16%,50011155
2015/7/10,17.481,17.533,17.188,17.277,17.277,0.48%,39162870
2015/7/13,17.483,17.503,17.07,17.477,17.477,1.16%,44404785
2015/7/14,17.473,17.733,17.367,17.71,17.71,1.33%,28614615
2015/7/15,17.783,17.833,17.472,17.543,17.543,-0.94%,30324315
2015/7/16,17.615,17.813,17.544,17.779,17.779,1.35%,24239415
2015/7/17,18.167,18.369,17.883,18.311,18.311,2.99%,75061485
2015/7/20,18.333,19.11,18.169,18.817,18.817,2.76%,74676810
2015/7/21,18.003,18.233,17.77,17.785,17.785,-5.48%,91630290
2015/7/22,17.418,17.963,17.391,17.858,17.858,0.41%,46574400
2015/7/23,17.977,17.993,17.685,17.813,17.813,-0.25%,33408585
2015/7/24,17.825,18.073,17.595,17.694,17.694,-0.67%,42547470
2015/7/27,17.495,17.629,16.719,16.867,16.867,-4.67%,70412880
2015/7/28,17.05,17.693,16.789,17.655,17.655,4.67%,58437120
2015/7/29,17.618,17.859,17.467,17.588,17.588,-0.38%,41851425
2015/7/30,17.513,17.796,17.474,17.786,17.786,1.13%,30518400
2015/7/31,17.84,17.957,17.675,17.743,17.743,-0.24%,33338280
2015/8/3,17.753,17.781,17.138,17.333,17.333,-2.31%,38302110
2015/8/4,17.334,17.781,17.223,17.752,17.752,2.42%,35287950
2015/8/5,17.572,18.067,17.36,18.009,18.009,1.45%,71970870
2015/8/6,16.636,17,15.741,16.409,16.409,-8.88%,219356310
2015/8/7,16.239,16.249,15.893,16.167,16.167,-1.47%,76100850
2015/8/10,15.877,16.198,15.737,16.076,16.076,-0.56%,62787900
2015/8/11,15.81,15.953,15.629,15.825,15.825,-1.56%,63974085
2015/8/12,15.667,15.985,15.516,15.878,15.878,0.33%,56087355
2015/8/13,15.991,16.432,15.941,16.167,16.167,1.82%,70337730
2015/8/14,16.483,16.529,16.118,16.21,16.21,0.27%,65472150
2015/8/17,17.037,17.106,16.701,16.999,16.999,4.87%,107650350
2015/8/18,17.025,17.397,16.904,17.381,17.381,2.25%,62925525
2015/8/19,17.355,17.377,17.001,17.017,17.017,-2.09%,54064230
2015/8/20,16.804,16.971,16.127,16.145,16.145,-5.12%,73586355
2015/8/21,15.733,16.253,15.367,15.385,15.385,-4.71%,98853510
2015/8/24,13.519,15.427,13,14.591,14.591,-5.16%,143723775
2015/8/25,15.368,15.393,14.608,14.669,14.669,0.53%,64909410
2015/8/26,15.195,15.2,14.367,14.989,14.989,2.18%,74445630
2015/8/27,15.4,16.317,15.387,16.199,16.199,8.07%,114839385
2015/8/28,16.124,16.763,16.105,16.565,16.565,2.26%,82705095
2015/8/31,16.385,16.997,16.367,16.604,16.604,0.24%,70503480
2015/9/1,16.023,16.4,15.798,15.909,15.909,-4.19%,81821475
2015/9/2,16.343,16.525,15.985,16.513,16.513,3.80%,69437610
2015/9/3,16.804,16.805,16.333,16.371,16.371,-0.86%,62921580
2015/9/4,16.059,16.273,15.88,16.129,16.129,-1.48%,55337295
2015/9/8,16.337,16.611,16.27,16.545,16.545,2.58%,47073465
2015/9/9,16.803,16.95,16.554,16.594,16.594,0.30%,50861820
2015/9/10,16.482,16.715,16.355,16.565,16.565,-0.17%,40635360
2015/9/11,16.509,16.683,16.315,16.683,16.683,0.71%,35262660
2015/9/14,16.74,16.95,16.645,16.879,16.879,1.17%,43362765
2015/9/15,16.85,16.973,16.633,16.905,16.905,0.15%,44001990
2015/9/16,16.869,17.525,16.859,17.483,17.483,3.42%,66256215
2015/9/17,17.597,17.7,17.379,17.471,17.471,-0.07%,53787180
2015/9/18,17.197,17.588,17.167,17.375,17.375,-0.55%,56445960
2015/9/21,17.599,18.105,17.053,17.613,17.613,1.37%,91802325
2015/9/22,17.269,17.51,17.058,17.396,17.396,-1.23%,54965295
2015/9/23,17.463,17.472,17.172,17.404,17.404,0.05%,39011670
2015/9/24,17.302,17.563,17.081,17.541,17.541,0.79%,51722865
2015/9/25,17.774,17.794,17.077,17.127,17.127,-2.36%,56600880
2015/9/28,17.157,17.319,16.441,16.562,16.562,-3.30%,73227030
2015/9/29,16.697,16.982,16.364,16.443,16.443,-0.72%,55547310
2015/9/30,16.8,16.827,16.156,16.56,16.56,0.71%,73197240
2015/10/1,16.501,16.567,15.809,15.992,15.992,-3.43%,68594460
2015/10/2,15.707,16.513,15.662,16.505,16.505,3.21%,66359730
2015/10/5,16.589,16.656,16.275,16.41,16.41,-0.58%,55347975
2015/10/6,16,16.202,15.705,16.097,16.097,-1.91%,78538455
2015/10/7,15.775,15.847,15.275,15.464,15.464,-3.93%,102209385
2015/10/8,15.339,15.381,14.754,15.115,15.115,-2.26%,91998240
2015/10/9,14.729,14.958,14.557,14.713,14.713,-2.66%,92375550
2015/10/12,14.866,14.867,14.351,14.372,14.372,-2.32%,57544545
2015/10/13,14.219,14.835,14.075,14.617,14.617,1.70%,77573025
2015/10/14,14.711,14.73,14.362,14.459,14.459,-1.08%,46566690
2015/10/15,14.429,14.782,14.247,14.754,14.754,2.04%,42663495
2015/10/16,14.869,15.365,14.858,15.134,15.134,2.58%,65017395
2015/10/19,15.1,15.41,14.996,15.207,15.207,0.48%,37618425
2015/10/20,15.181,15.24,13.467,14.202,14.202,-6.61%,223500705
2015/10/21,14.133,14.321,13.92,14.006,14.006,-1.38%,62752065
2015/10/22,14.104,14.383,13.96,14.115,14.115,0.78%,42377385
2015/10/23,14.333,14.357,13.846,13.939,13.939,-1.25%,63531930
2015/10/26,14.092,14.392,14,14.351,14.351,2.96%,50871570
2015/10/27,14.323,14.473,13.834,14.023,14.023,-2.29%,52791735
2015/10/28,14.087,14.23,13.887,14.197,14.197,1.24%,40928895
2015/10/29,14.117,14.25,14.043,14.109,14.109,-0.62%,27075480
2015/10/30,14.027,14.109,13.593,13.795,13.795,-2.23%,66583515
2015/11/2,13.928,14.387,13.815,14.253,14.253,3.32%,58919160
2015/11/3,14.257,14.296,13.85,13.89,13.89,-2.55%,124987290
2015/11/4,15.133,15.516,15.013,15.442,15.442,11.17%,190895490
2015/11/5,15.372,15.639,15.279,15.451,15.451,0.06%,67452645
2015/11/6,15.38,15.557,15.3,15.491,15.491,0.26%,36679395
2015/11/9,15.533,15.533,14.954,15.022,15.022,-3.03%,57762900
2015/11/10,14.899,14.913,14.405,14.433,14.433,-3.92%,69255105
2015/11/11,14.518,14.632,14.242,14.605,14.605,1.19%,50217090
2015/11/12,14.523,14.6,14.177,14.196,14.196,-2.80%,43738500
2015/11/13,14.197,14.199,13.768,13.813,13.813,-2.70%,51454905
2015/11/16,13.739,14.332,13.72,14.287,14.287,3.43%,43880925
2015/11/17,14.347,14.4,14.093,14.267,14.267,-0.14%,32224890
2015/11/18,14.3,14.759,14.168,14.738,14.738,3.30%,42178500
2015/11/19,14.703,15.079,14.687,14.787,14.787,0.33%,37565625
2015/11/20,14.899,15,14.239,14.667,14.667,-0.81%,66010830
2015/11/23,14.49,14.612,14.312,14.517,14.517,-1.02%,37892985
2015/11/24,14.358,14.733,14.333,14.55,14.55,0.23%,37204395
2015/11/25,14.756,15.388,14.692,15.309,15.309,5.22%,59861685
2015/11/27,15.404,15.483,15.134,15.441,15.441,0.86%,29240295
2015/11/30,15.453,15.619,15.272,15.351,15.351,-0.58%,39897195
2015/12/1,15.404,15.867,15.403,15.813,15.813,3.01%,56009325
2015/12/2,15.8,15.907,15.415,15.466,15.466,-2.19%,44722020
2015/12/3,15.699,15.83,15.333,15.514,15.514,0.31%,44093460
2015/12/4,15.497,15.551,15.177,15.359,15.359,-1.00%,38604045
2015/12/7,15.18,15.709,15.077,15.409,15.409,0.33%,47163345
2015/12/8,15.168,15.253,14.947,15.115,15.115,-1.91%,40314540
2015/12/9,15.113,15.167,14.715,14.968,14.968,-0.97%,45866295
2015/12/10,14.981,15.233,14.909,15.138,15.138,1.14%,31075380
2015/12/11,15.016,15.05,14.443,14.468,14.468,-4.43%,49030890
2015/12/14,14.501,14.728,14.325,14.572,14.572,0.72%,42472770
2015/12/15,14.788,14.815,14.533,14.739,14.739,1.15%,33666360
2015/12/16,14.807,15.659,14.715,15.634,15.634,6.07%,76565115
2015/12/17,15.596,15.851,15.321,15.559,15.559,-0.48%,49479570
2015/12/18,15.526,15.727,15.286,15.364,15.364,-1.25%,45212550
2015/12/21,15.446,15.722,15.405,15.504,15.504,0.91%,29297610
2015/12/22,15.666,15.77,15.309,15.33,15.33,-1.12%,29422425
2015/12/23,15.479,15.563,15.209,15.313,15.313,-0.11%,23324685
2015/12/24,15.371,15.459,15.219,15.371,15.371,0.38%,10654155
2015/12/28,15.433,15.465,15.036,15.263,15.263,-0.70%,28519560
2015/12/29,15.337,15.848,15.303,15.813,15.813,3.60%,36094350
2015/12/30,15.773,16.242,15.711,15.873,15.873,0.38%,55468815
2015/12/31,15.901,16.23,15.891,16.001,16.001,0.81%,40725570
2016/1/4,15.381,15.425,14.6,14.894,14.894,-6.92%,102407190
2016/1/5,15.091,15.126,14.667,14.895,14.895,0.01%,47801280
2016/1/6,14.667,14.67,14.399,14.603,14.603,-1.96%,56686920
2016/1/7,14.279,14.563,14.245,14.377,14.377,-1.55%,53313765
2016/1/8,14.524,14.696,14.051,14.067,14.067,-2.16%,54420870
2016/1/11,14.267,14.297,13.533,13.857,13.857,-1.49%,61371330
