Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,58.79,59.02,58.41,58.44,44.599,-0.38%,3665738
2015/3/25,58.41,58.6,55.73,55.73,42.531,-4.64%,11203979
2015/3/26,55.09,56.25,54.62,55.8,42.585,0.13%,6830785
2015/3/27,55.77,57.175,55.56,56.76,43.317,1.72%,5144252
2015/3/30,57.1,58.12,56.84,58,44.264,2.18%,5336098
2015/3/31,57.74,57.91,57.08,57.185,43.642,-1.41%,4905280
2015/4/1,57.05,57.23,56.23,56.535,43.146,-1.14%,5322936
2015/4/2,56.68,57.2,56.42,56.72,43.287,0.33%,3545900
2015/4/6,56.19,57.15,55.86,56.81,43.356,0.16%,3120491
2015/4/7,56.69,57.43,56.57,56.94,43.455,0.23%,3259624
2015/4/8,56.8,57.29,56.56,56.97,43.478,0.05%,4142189
2015/4/9,56.72,57.84,56.53,57.78,44.096,1.42%,4362186
2015/4/10,57.83,57.85,57.54,57.7,44.035,-0.14%,3410804
2015/4/13,57.82,57.99,57.19,57.205,43.657,-0.86%,3004448
2015/4/14,57.15,57.41,56.58,56.75,43.31,-0.80%,3875078
2015/4/15,57.11,58.69,56.99,58.5,44.645,3.08%,6654631
2015/4/16,58.14,58.575,58.08,58.41,44.577,-0.15%,4058777
2015/4/17,57.84,58.2,57.2,57.33,43.752,-1.85%,5231157
2015/4/20,57.6,58.53,57.6,58.17,44.393,1.47%,3220401
2015/4/21,58.87,58.87,58.03,58.16,44.386,-0.02%,2853693
2015/4/22,58.54,58.86,57.97,58.73,44.821,0.98%,4473476
2015/4/23,54.3,54.93,53.93,54.72,41.761,-6.83%,22987496
2015/4/24,54.68,54.83,54.13,54.73,41.768,0.02%,10533630
2015/4/27,55.32,56.3,55.09,55.56,42.402,1.52%,8397286
2015/4/28,55.31,55.52,54.64,55.09,42.302,-0.85%,6730280
2015/4/29,54.67,55.32,54.37,55.02,42.249,-0.13%,5276336
2015/4/30,54.91,55.15,53.92,54.21,41.627,-1.47%,6756944
2015/5/1,54.71,55.43,54.42,55.31,42.471,2.03%,5726716
2015/5/4,55.3,55.61,55.01,55.295,42.46,-0.03%,4061568
2015/5/5,54.97,55.03,53.854,54.01,41.473,-2.32%,7970070
2015/5/6,54.13,54.55,53.34,53.7,41.235,-0.57%,7737305
2015/5/7,53.97,54.4,53.82,54.06,41.511,0.67%,5846585
2015/5/8,54.5,55.17,54.34,54.7,42.003,1.18%,4814557
2015/5/11,54.62,54.75,54.31,54.44,41.803,-0.48%,4204433
2015/5/12,54.2,54.587,53.745,54.165,41.592,-0.51%,4315521
2015/5/13,54.16,54.96,54.13,54.69,41.995,0.97%,4332585
2015/5/14,55.12,55.86,55,55.605,42.698,1.67%,4109316
2015/5/15,55.9,56,55.27,55.61,42.702,0.01%,4165318
2015/5/18,55.51,55.9,55.281,55.79,42.84,0.32%,3861286
2015/5/19,55.89,56.13,55.565,55.78,42.832,-0.02%,4848455
2015/5/20,55.81,56.27,55.56,55.63,42.717,-0.27%,4179316
2015/5/21,55.51,56,55.26,55.5,42.617,-0.23%,4260836
2015/5/22,55.23,55.6,55.23,55.365,42.514,-0.24%,5419800
2015/5/26,55.25,55.25,54.2,54.56,41.895,-1.45%,5311997
2015/5/27,54.71,56.23,54.59,55.97,42.978,2.58%,7278215
2015/5/28,55.955,56.4,55.72,55.91,42.932,-0.11%,6851228
2015/5/29,56.02,56.34,55.57,55.92,42.94,0.02%,5928716
2015/6/1,55.7,56.34,55.42,55.71,42.778,-0.38%,4576011
2015/6/2,55.42,55.6,54.88,55.25,42.425,-0.83%,4630112
2015/6/3,55.46,55.58,54.82,54.885,42.145,-0.66%,3658970
2015/6/4,54.66,54.88,53.83,53.98,41.45,-1.65%,6640652
2015/6/5,53.98,54.26,53.58,53.785,41.3,-0.36%,3650414
2015/6/8,53.67,53.72,52.705,52.82,40.559,-1.79%,4795365
2015/6/9,52.84,53.29,52.44,52.915,40.632,0.18%,4414323
2015/6/10,53.14,54.39,52.92,54.19,41.611,2.41%,6930586
2015/6/11,54.17,54.26,53.57,53.64,41.189,-1.01%,4711228
2015/6/12,53.35,53.51,52.99,53.01,40.705,-1.17%,4174063
2015/6/15,52.45,53.11,52.32,53.045,40.732,0.07%,4895330
2015/6/16,52.91,53.2,52.66,53.09,40.767,0.08%,2702215
2015/6/17,53.31,53.53,52.87,53.29,40.92,0.38%,3465673
2015/6/18,53.48,54.37,53.34,54.22,41.634,1.75%,5911006
2015/6/19,54.25,54.59,53.54,54.51,41.857,0.53%,9948644
2015/6/22,54.62,55.52,54.62,55.5,42.617,1.82%,9503360
2015/6/23,55.31,55.6,54.71,54.83,42.103,-1.21%,5055826
2015/6/24,54.65,54.81,53.93,53.99,41.458,-1.53%,4203495
2015/6/25,54.23,54.42,53.74,53.795,41.308,-0.36%,3759625
2015/6/26,53.39,53.795,52.43,52.9,40.621,-1.66%,7860268
2015/6/29,52.56,52.66,51.47,51.52,39.561,-2.61%,6566356
2015/6/30,51.98,51.99,51.3,51.51,39.553,-0.02%,5260553
2015/7/1,52.15,52.31,51.76,51.91,39.861,0.78%,9820829
2015/7/2,52.19,52.24,51.77,51.97,39.907,0.12%,3642415
2015/7/6,51.45,52.014,51.06,51.39,39.461,-1.12%,4251218
2015/7/7,51.31,51.46,49.98,51.21,39.323,-0.35%,8205776
2015/7/8,50.62,50.69,49.46,49.53,38.033,-3.28%,11806386
2015/7/9,50.05,50.4,48.09,48.11,36.943,-2.87%,22612208
2015/7/10,48.93,49.27,48.595,49.01,37.634,1.87%,8448905
2015/7/13,49.2,49.55,49,49.33,37.879,0.65%,4937637
2015/7/14,49.39,50,49.31,49.76,38.21,0.87%,6500064
2015/7/15,49.23,49.8,49.15,49.49,38.002,-0.54%,5461590
2015/7/16,49.48,49.65,48.78,49.36,37.902,-0.26%,7401203
2015/7/17,49.27,49.45,48.77,49.36,37.902,0.00%,7021335
2015/7/20,51.06,51.06,49.83,50.09,38.463,1.48%,8876903
2015/7/21,50.03,51.08,49.9,50.23,38.57,0.28%,10632949
2015/7/22,48.3,49.64,48,49.3,37.856,-1.85%,15381535
2015/7/23,49.84,51.26,49.588,50.51,38.785,2.45%,13271821
2015/7/24,50.48,50.56,48.88,49.03,37.649,-2.93%,10960318
2015/7/27,48.88,49.36,48.47,49.03,37.649,0.00%,9394228
2015/7/28,49.15,50.57,48.85,50.08,38.455,2.14%,7636588
2015/7/29,49.72,50.195,49.18,49.96,38.624,-0.24%,6855270
2015/7/30,49.59,50.43,49.5,50.24,38.841,0.56%,5629359
2015/7/31,50.38,50.38,49.81,49.98,38.64,-0.52%,7466903
2015/8/3,50.08,50.235,49.7,50.09,38.725,0.22%,5325833
2015/8/4,50.18,50.37,49.375,49.84,38.531,-0.50%,5746626
2015/8/5,50.11,51.12,50.07,50.855,39.316,2.04%,6686931
2015/8/6,50.76,50.91,49.84,50.25,38.848,-1.19%,6055880
2015/8/7,49.83,50.38,49.66,50.32,38.903,0.14%,5324697
2015/8/10,52.24,52.45,51.05,52.08,40.263,3.50%,10496564
2015/8/11,51.54,51.55,50.34,50.64,39.15,-2.76%,8013024
2015/8/12,50.19,51.355,49.8,51.11,39.513,0.93%,7533529
2015/8/13,51.16,51.31,50.525,50.63,39.142,-0.94%,4007456
2015/8/14,50.5,50.835,50.06,50.64,39.15,0.02%,4536686
2015/8/17,50.45,51.03,50.18,50.9,39.351,0.51%,3364014
2015/8/18,50.46,50.77,49.67,49.91,38.586,-1.94%,6978478
2015/8/19,50.13,50.15,49.045,49.2,38.037,-1.42%,6906255
2015/8/20,48.65,48.78,47.37,47.43,36.668,-3.60%,10206497
2015/8/21,46.96,47.63,45.96,45.96,35.532,-3.10%,17952805
2015/8/24,45.02,47.04,43.75,44.89,34.705,-2.33%,15487018
2015/8/25,46.02,46.32,43.49,43.52,33.645,-3.05%,14458273
2015/8/26,44.83,45.47,43.75,45.41,35.107,4.34%,19075839
2015/8/27,45.78,47.15,45.5,47.06,36.382,3.63%,9822021
2015/8/28,46.84,48,46.5,47.99,37.101,1.98%,8242694
2015/8/31,47.75,48.435,47.31,47.84,36.985,-0.31%,10145882
2015/9/1,46.4,47.57,46.01,46.34,35.826,-3.14%,13136111
2015/9/2,47.24,47.35,46.41,47.35,36.606,2.18%,6012639
2015/9/3,47.67,48.02,47.28,47.46,36.691,0.23%,5289050
2015/9/4,46.69,47.19,46.41,46.53,35.972,-1.96%,6603426
2015/9/8,47.63,48.76,47.54,48.69,37.642,4.64%,7993003
2015/9/9,49.02,49.63,47.47,47.61,36.807,-2.22%,8250074
2015/9/10,47.36,47.96,46.898,47.41,36.653,-0.42%,8543062
2015/9/11,47.2,47.63,46.815,47.57,36.777,0.34%,6567297
2015/9/14,47.87,47.995,47.55,47.83,36.978,0.55%,4750848
2015/9/15,48,48.74,47.66,48.3,37.341,0.98%,7104322
2015/9/16,48.33,48.765,47.8,48.7,37.65,0.83%,4624450
2015/9/17,48.63,49.03,48.09,48.15,37.225,-1.13%,5693520
2015/9/18,47.75,48.635,47.1,47.8,36.954,-0.73%,17206523
2015/9/21,47.87,48.08,47.05,47.45,36.684,-0.73%,6105198
2015/9/22,46.68,46.99,46.28,46.61,36.034,-1.77%,6161648
2015/9/23,46.61,46.8,46.265,46.58,36.011,-0.06%,4335349
2015/9/24,46.17,46.92,45.33,46.75,36.143,0.36%,8534957
2015/9/25,47.02,47.55,46.8,47.17,36.467,0.90%,8924202
2015/9/28,47.05,47.44,46.88,46.95,36.297,-0.47%,10629094
2015/9/29,47.16,47.61,46.79,47.53,36.746,1.24%,7413614
2015/9/30,48.09,49.55,47.92,49.525,38.288,4.20%,8928968
2015/10/1,49.84,49.87,47.89,48.44,37.449,-2.19%,10007433
2015/10/2,47.78,48.79,47.12,48.77,37.704,0.68%,8229732
2015/10/5,49.13,50.41,49,50.13,38.756,2.79%,6812480
2015/10/6,50.13,50.64,49.23,50.46,39.011,0.66%,5796388
2015/10/7,51,51.6,50.31,51.04,39.459,1.15%,7065346
2015/10/8,50.68,51.54,50.36,51.52,39.83,0.94%,6431515
2015/10/9,51.35,51.76,50.64,50.87,39.328,-1.26%,5720140
2015/10/12,50.73,51.42,50.56,51.34,39.691,0.92%,4075340
2015/10/13,50.99,51.42,50.81,50.91,39.359,-0.84%,7161999
2015/10/14,51.11,53.15,51.03,52.65,40.704,3.42%,10558486
2015/10/15,52.95,53.1,52.31,52.43,40.534,-0.42%,7153376
2015/10/16,52.29,52.66,52,52.57,40.642,0.27%,5685298
2015/10/19,52.56,52.93,52.24,52.64,40.696,0.13%,5701717
2015/10/20,52.45,52.6,52.18,52.43,40.534,-0.40%,5666904
2015/10/21,52.58,53.18,51.805,51.9,40.124,-1.01%,8723649
2015/10/22,56.1,58.12,55.74,58.09,44.91,11.93%,21234227
2015/10/23,58.15,59.67,57.57,58.98,45.598,1.53%,14490038
2015/10/26,58.9,59.23,58.4,58.81,45.466,-0.29%,7635541
2015/10/27,58.39,59.325,58.22,58.42,45.165,-0.66%,8420526
2015/10/28,58.52,58.78,57.19,58.67,45.652,0.43%,14464608
2015/10/29,57.74,57.83,56.31,56.57,44.018,-3.58%,10108896
