Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,44.53,45.16,44.14,45.08,44.255,1.05%,2615049
2015/3/25,45.14,45.25,44.32,44.33,43.519,-1.66%,3444096
2015/3/26,44.01,44.13,43.42,44,43.195,-0.74%,1352415
2015/3/27,43.99,44.26,43.67,44.19,43.381,0.43%,1205906
2015/3/30,44.4,45.17,44.28,45.07,44.245,1.99%,1302973
2015/3/31,44.63,44.848,44.135,44.33,43.519,-1.64%,1399052
2015/4/1,44.12,44.95,43.46,44.8,43.98,1.06%,1951903
2015/4/2,44.71,45.42,44.61,44.94,44.118,0.31%,1963014
2015/4/6,44.76,46.15,44.72,46.1,45.256,2.58%,2787751
2015/4/7,46.05,46.29,45.715,45.77,44.932,-0.72%,1887897
2015/4/8,45.74,46.03,45.5,45.85,45.011,0.17%,1199271
2015/4/9,45.85,46.17,45.42,45.81,44.972,-0.09%,981771
2015/4/10,45.95,46.24,45.712,46.12,45.276,0.68%,1317867
2015/4/13,45.96,46.32,45.61,45.72,44.883,-0.87%,982013
2015/4/14,45.66,45.74,45.4,45.61,44.775,-0.24%,1471579
2015/4/15,45.89,46.248,45.64,45.91,45.07,0.66%,1029074
2015/4/16,45.65,46.17,45.21,46.11,45.266,0.44%,1777337
2015/4/17,45.69,45.8,44.67,44.81,43.99,-2.82%,1645321
2015/4/20,45.04,45.49,44.91,45.45,44.618,1.43%,1559391
2015/4/21,45.52,45.57,44.63,44.66,43.843,-1.74%,1539887
2015/4/22,44.67,44.78,44.11,44.71,43.892,0.11%,1535091
2015/4/23,44.46,44.89,44.18,44.72,43.902,0.02%,1493356
2015/4/24,44.72,44.72,44.1,44.21,43.401,-1.14%,1238926
2015/4/27,44.42,44.42,43.66,43.67,42.871,-1.22%,2297318
2015/4/28,43.32,44.67,42.97,44.36,43.548,1.58%,5609053
2015/4/29,44.21,44.7,44.05,44.16,43.352,-0.45%,3505941
2015/4/30,43.87,44.39,43.7,43.98,43.175,-0.41%,2174634
2015/5/1,44.07,44.589,43.91,44.41,43.597,0.98%,2217866
2015/5/4,44.48,44.91,44.34,44.6,43.784,0.43%,1616376
2015/5/5,44.55,44.88,44.22,44.4,43.587,-0.45%,2538578
2015/5/6,44.6,44.91,44.34,44.61,43.794,0.47%,2075654
2015/5/7,44.43,44.9,44.25,44.68,43.862,0.16%,1955578
2015/5/8,45.21,45.45,45,45.19,44.363,1.14%,1781508
2015/5/11,45.1,45.58,45.04,45.4,44.569,0.46%,1563936
2015/5/12,45.2,45.67,44.8,45.52,44.687,0.26%,1675905
2015/5/13,45.62,46.04,45.45,45.89,45.05,0.81%,1668365
2015/5/14,46.27,46.88,46.09,46.86,46.002,2.11%,2065352
2015/5/15,46.84,46.93,46.38,46.62,45.767,-0.51%,1413447
2015/5/18,46.54,46.76,46.24,46.66,45.806,0.09%,1159365
2015/5/19,46.71,46.79,46.235,46.29,45.443,-0.79%,839429
2015/5/20,46.29,46.675,46.245,46.47,45.62,0.39%,1047056
2015/5/21,46.63,46.81,46.48,46.51,45.659,0.09%,751689
2015/5/22,46.48,46.64,46.16,46.35,45.502,-0.34%,840733
2015/5/26,46.17,46.35,45.21,45.7,44.864,-1.40%,1678107
2015/5/27,45.73,46.06,45.63,45.94,45.099,0.53%,868447
2015/5/28,45.94,45.97,45.61,45.95,45.109,0.02%,793993
2015/5/29,45.85,45.99,45.16,45.22,44.392,-1.59%,1060909
2015/6/1,45.3,45.45,44.9,45.15,44.324,-0.15%,655447
2015/6/2,44.89,45.33,44.89,45.15,44.324,0.00%,695090
2015/6/3,45.3,45.7,45.08,45.36,44.53,0.47%,470123
2015/6/4,45,45.135,44.48,44.53,43.715,-1.83%,968528
2015/6/5,44.37,44.84,44.16,44.76,43.941,0.52%,760063
2015/6/8,44.75,44.92,44.53,44.74,43.921,-0.04%,1153224
2015/6/9,44.77,44.905,44.505,44.55,43.735,-0.42%,1127022
2015/6/10,44.8,46.09,44.59,46.06,45.237,3.39%,2081416
2015/6/11,46.04,46.51,45.86,46.15,45.325,0.20%,1537456
2015/6/12,45.85,46.06,45.71,45.96,45.138,-0.41%,1349066
2015/6/15,45.51,45.8,45.27,45.51,44.697,-0.98%,1263463
2015/6/16,45.38,46.1,45.29,45.91,45.089,0.88%,1153117
2015/6/17,46.05,46.353,45.46,45.92,45.099,0.02%,1521709
2015/6/18,46.15,46.59,45.86,46.47,45.639,1.20%,1146513
