Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,67.33,68.42,66.84,67.63,67.63,0.03%,4282720
2015/3/25,67.55,67.57,65.29,65.56,65.56,-3.06%,5417776
2015/3/26,64,65.19,63.09,64.97,64.97,-0.90%,5993050
2015/3/27,65.51,67.8,65.51,67.75,67.75,4.28%,5120667
2015/3/30,68.25,68.75,67.58,68.19,68.19,0.65%,3393334
2015/3/31,67.95,68.1,66.77,67.25,67.25,-1.38%,3272414
2015/4/1,65.06,65.85,63.75,64.01,64.01,-4.82%,7428037
2015/4/2,64.24,64.54,61.73,61.88,61.88,-3.33%,7559435
2015/4/6,60.64,61.18,59.47,60.12,60.12,-2.84%,8067617
2015/4/7,60.58,61.42,59.29,59.57,59.57,-0.91%,4869691
2015/4/8,59.85,61,59.7,60.55,60.55,1.65%,6791628
2015/4/9,62.26,62.915,60.56,61.16,61.16,1.01%,8904393
2015/4/10,61.29,62.16,61,61.05,61.05,-0.18%,3730833
2015/4/13,60.57,62,60.4,61.01,61.01,-0.07%,4809329
2015/4/14,60.49,61,59.64,60.25,60.25,-1.25%,4807781
2015/4/15,61.65,61.99,60.35,60.99,60.99,1.23%,6011800
2015/4/16,60.95,62.94,60.72,62.2,62.2,1.98%,4452547
2015/4/17,61.69,62.55,61.43,61.49,61.49,-1.14%,4090782
2015/4/20,62,62.5,61.06,62.4,62.4,1.48%,4736766
2015/4/21,62.7,63.92,62.08,63.7,63.7,2.08%,5716642
2015/4/22,63.8,64.24,62.9,64.02,64.02,0.50%,6283907
2015/4/23,62.74,64.099,62.31,62.8,62.8,-1.91%,8683814
2015/4/24,63.44,64.95,63.4,63.51,63.51,1.13%,8820914
2015/4/27,62.94,63.465,61.743,61.98,61.98,-2.41%,4916099
2015/4/28,61.8,61.95,59.93,61.42,61.42,-0.90%,4211943
2015/4/29,61,61.27,57.95,59.87,59.87,-2.52%,7502855
2015/4/30,59.9,61.29,59.33,59.74,59.74,-0.22%,7179945
2015/5/1,60.34,61.96,59.92,61.4,61.4,2.78%,4519764
2015/5/4,61.94,62.18,60.59,60.92,60.92,-0.78%,3769664
2015/5/5,59.91,60.48,58.93,59.23,59.23,-2.77%,3617217
2015/5/6,59.11,59.99,57.7,59.44,59.44,0.35%,4304246
2015/5/7,59.81,62.79,59.81,62.52,62.52,5.18%,7859056
2015/5/8,62.24,63.9,62.07,62.44,62.44,-0.13%,4828998
2015/5/11,62.7,63.64,62.16,62.95,62.95,0.82%,2726194
2015/5/12,62.25,62.35,61.49,61.86,61.86,-1.73%,4354563
2015/5/13,62.45,63.45,61.06,61.23,61.23,-1.02%,4511570
2015/5/14,61.6,62.16,61.17,61.75,61.75,0.85%,3722928
2015/5/15,62.21,62.58,61.4,61.6,61.6,-0.24%,2803505
2015/5/18,61.63,62.28,61.39,62.25,62.25,1.06%,4207314
2015/5/19,62.74,63.22,60.715,60.81,60.81,-2.31%,4842055
2015/5/20,60.57,60.58,54.22,54.54,54.54,-10.31%,22704169
2015/5/21,54.6,55.37,54.08,54.13,54.13,-0.75%,10721669
2015/5/22,54.42,54.63,53.11,53.69,53.69,-0.81%,6738893
2015/5/26,54.1,54.1,51.68,51.92,51.92,-3.30%,11235371
2015/5/27,52.37,54,52.25,53.7,53.7,3.43%,6443602
2015/5/28,53.7,54.17,53.28,53.49,53.49,-0.39%,4948877
2015/5/29,53.56,54.795,52.8,54.59,54.59,2.06%,7309113
2015/6/1,54.76,56.89,54.07,56.31,56.31,3.15%,9487316
2015/6/2,55.12,56.37,54.36,55.95,55.95,-0.64%,6719586
2015/6/3,56.19,56.39,55.31,55.87,55.87,-0.14%,3668060
2015/6/4,55.5,56.37,53.99,54.57,54.57,-2.33%,7131128
2015/6/5,54.62,54.94,53.83,54.09,54.09,-0.88%,4867077
2015/6/8,53.48,53.6,51.03,51.73,51.73,-4.36%,9231941
2015/6/9,50.35,52.9,49.85,52.58,52.58,1.64%,12212166
2015/6/10,52.32,53.1,51.47,52.42,52.42,-0.30%,6406729
2015/6/11,52.91,53.53,52.33,52.5,52.5,0.15%,3370897
2015/6/12,52,53.37,52,52.87,52.87,0.70%,4098333
2015/6/15,52.49,53.01,51.87,52.25,52.25,-1.17%,3199372
2015/6/16,52.25,52.56,50.85,51.23,51.23,-1.95%,4767514
