Date,Open,High,Low,Close,Adj. Close,Change,Volume
2019/5/13,38.79,39.24,36.08,37.1,37.1,-10.75%,79442420
2019/5/14,38.31,39.96,36.85,39.96,39.96,7.71%,46661147
2019/5/15,39.37,41.88,38.95,41.29,41.29,3.33%,36086065
2019/5/16,41.48,44.06,41.25,43,43,4.14%,38115524
2019/5/17,41.98,43.29,41.27,41.91,41.91,-2.53%,20225687
2019/5/20,41.19,41.68,39.46,41.59,41.59,-0.76%,29222330
2019/5/21,42,42.24,41.25,41.5,41.5,-0.22%,10802851
2019/5/22,41.05,41.28,40.5,41.25,41.25,-0.60%,9089469
2019/5/23,40.8,41.09,40.02,40.47,40.47,-1.89%,11119870
2019/5/24,41.28,41.51,40.5,41.51,41.51,2.57%,8786751
2019/5/28,41.7,41.8,40.6,40.95,40.95,-1.35%,13391605
2019/5/29,40.52,40.71,39.147,39.94,39.94,-2.47%,14060447
2019/5/30,40.07,40.38,39.5,39.8,39.8,-0.35%,26451864
2019/5/31,41.15,41.57,39.41,40.41,40.41,1.53%,23209848
2019/6/3,40.744,41.85,40.24,41.25,41.25,2.08%,16605261
2019/6/4,42.56,42.88,40.7,42.75,42.75,3.64%,23432141
2019/6/5,42.87,45.66,42.5,45,45,5.26%,28609604
2019/6/6,45,45.75,44.28,44.92,44.92,-0.18%,16403691
2019/6/7,44.92,45.67,44.13,44.16,44.16,-1.69%,12654670
2019/6/10,44.02,44.59,42.53,42.61,42.61,-3.51%,11618701
2019/6/11,43.22,43.65,41.8,42.45,42.45,-0.38%,9095044
2019/6/12,42.52,42.65,41.71,42.17,42.17,-0.66%,5965250
2019/6/13,43.05,44.35,42.8,44.31,44.31,5.07%,10178935
2019/6/14,44.75,44.8,43.11,43.23,43.23,-2.44%,7902223
2019/6/17,43.28,44.079,42.93,43.78,43.78,1.27%,6557589
2019/6/18,44.3,44.89,43.75,43.86,43.86,0.18%,7313602
2019/6/19,44.46,45.5,43.95,44.86,44.86,2.28%,10331520
2019/6/20,45.03,45.29,43.51,43.86,43.86,-2.23%,9567367
2019/6/21,43.85,44.14,43.38,44,44,0.32%,4973987
2019/6/24,44,44.07,42.82,43.09,43.09,-2.07%,5985052
2019/6/25,43.28,43.79,42.443,43.09,43.09,0.00%,5755107
2019/6/26,43.25,43.4,42.36,42.5,42.5,-1.37%,8109056
2019/6/27,43.35,45.3,43.2,45.13,45.13,6.19%,20155079
2019/6/28,45.1,47.08,45.08,46.38,46.38,2.77%,28657002
2019/7/1,46.98,47.04,44.06,44.27,44.27,-4.55%,17739998
2019/7/2,44.55,44.68,43.75,44,44,-0.61%,11881274
2019/7/3,44,44.46,43.79,44.23,44.23,0.52%,3380003
2019/7/5,44.31,44.55,43.01,43.53,43.53,-1.58%,8239452
2019/7/8,43.59,43.85,42.75,42.95,42.95,-1.33%,9304101
2019/7/9,43.18,44.23,42.98,44.2,44.2,2.91%,5251564
2019/7/10,44.48,44.8,43.56,43.7,43.7,-1.13%,9746505
2019/7/11,44.1,44.29,43.31,43.99,43.99,0.66%,8050856
2019/7/12,44.16,44.24,43.39,43.99,43.99,0.00%,8760526
2019/7/15,44.2,44.7,43.97,44.53,44.53,1.23%,5811160
2019/7/16,44.6,44.98,44.02,44.13,44.13,-0.90%,5613321
2019/7/17,44.06,44.35,43.52,43.62,43.62,-1.16%,5854149
2019/7/18,43.5,43.85,43.19,43.71,43.71,0.21%,4123615
2019/7/19,43.9,44.086,43.16,43.18,43.18,-1.21%,4021018
2019/7/22,43.25,43.72,43.01,43.69,43.69,1.18%,3822276
2019/7/23,43.75,44.31,43.11,43.36,43.36,-0.76%,5110090
2019/7/24,43.36,43.87,43.36,43.76,43.76,0.92%,3775677
2019/7/25,43.72,43.96,43.21,43.4,43.4,-0.82%,4411991
2019/7/26,43.42,44.96,43.39,44.52,44.52,2.58%,7598828
2019/7/29,45,45.627,43.12,43.88,43.88,-1.44%,8652204
2019/7/30,43.71,43.74,42.49,42.59,42.59,-2.94%,7686342
2019/7/31,42.6,42.98,41.84,42.14,42.14,-1.06%,5970774
2019/8/1,42.14,42.536,41,41.31,41.31,-1.97%,7349740
2019/8/2,41.03,41.06,39.95,40.4,40.4,-2.20%,8225677
2019/8/5,39.35,39.42,38.433,39.05,39.05,-3.34%,9799269
2019/8/6,39.68,40.808,38.36,39.15,39.15,0.26%,8570273
2019/8/7,39.06,39.99,38.32,39.7,39.7,1.40%,8896039
2019/8/8,41.98,43,41.25,42.97,42.97,8.24%,29610463
2019/8/9,39.56,40.68,38.71,40.05,40.05,-6.80%,35138775
2019/8/12,39.83,39.95,37,37,37,-7.62%,25890804
2019/8/13,37,37.46,36.12,36.45,36.45,-1.49%,19031422
2019/8/14,36,36.3,33.36,33.96,33.96,-6.83%,24481636
2019/8/15,34.52,34.55,32.92,33.22,33.22,-2.18%,13265793
2019/8/16,33.46,35.48,33.4,35.23,35.23,6.05%,13883152
2019/8/19,35.53,35.8,34.37,34.61,34.61,-1.76%,10853126
2019/8/20,34.48,36.07,34.39,35.29,35.29,1.96%,10766387
