Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,121.01,121.38,119.23,120,115.099,-1.10%,471627
2015/3/25,120.14,121.95,117.78,117.98,113.161,-1.68%,886885
2015/3/26,117.7,118.25,116.33,117.34,112.547,-0.54%,617560
2015/3/27,117.41,118.38,117.41,118.1,113.276,0.65%,506304
2015/3/30,119.09,120.46,119.09,119.97,115.07,1.58%,500837
2015/3/31,119.2,120.07,117.59,117.71,112.902,-1.88%,929675
2015/4/1,115.9,116.63,109.83,112.96,108.346,-4.04%,3475890
2015/4/2,112.86,116.96,112.4,116.69,111.924,3.30%,1279625
2015/4/6,115.97,119.27,115.58,118.11,113.286,1.22%,851209
2015/4/7,118.44,119.9,117.78,117.92,113.104,-0.16%,533527
2015/4/8,118.13,119.87,117.55,118.98,114.12,0.90%,752635
2015/4/9,118.69,119.7,117.301,118.7,113.852,-0.24%,556322
2015/4/10,118.65,119.15,117.51,118.44,113.602,-0.22%,300187
2015/4/13,118.73,119.72,118.25,118.39,113.554,-0.04%,377419
2015/4/14,118.03,119.66,116.93,119.15,114.283,0.64%,446985
2015/4/15,120.17,122.05,120.16,121.09,116.144,1.63%,545134
2015/4/16,120.86,121.24,119.32,119.98,115.08,-0.92%,420675
2015/4/17,119.2,120.17,118.63,119.78,114.888,-0.17%,466965
2015/4/20,120.02,121.09,119.29,120.93,115.991,0.96%,445941
2015/4/21,121.28,121.8,120.225,120.95,116.01,0.02%,511774
2015/4/22,120.96,121.41,119.71,121.07,116.125,0.10%,508843
2015/4/23,121.23,122.77,120.405,122.6,117.593,1.26%,648991
2015/4/24,122.71,123.41,122.15,122.69,117.679,0.07%,384159
2015/4/27,123.13,123.13,120.03,120.25,115.339,-1.99%,651523
2015/4/28,122.78,123,117.24,121.84,116.864,1.32%,1120030
2015/4/29,121.8,122.07,118.64,119.71,114.821,-1.75%,668721
2015/4/30,119.51,120.38,116.66,116.95,112.173,-2.31%,1060751
2015/5/1,117.72,118.17,116.25,116.81,112.039,-0.12%,835835
2015/5/4,117.25,119.83,117.03,119.38,114.504,2.20%,786094
2015/5/5,119.54,119.94,115.85,116.27,111.521,-2.61%,743541
2015/5/6,116.65,116.78,114.755,115.37,110.658,-0.77%,623522
2015/5/7,115.18,118.75,115.18,118.49,113.65,2.70%,957843
2015/5/8,119.57,120.792,119.07,120.63,115.703,1.81%,681393
2015/5/11,120.59,122.95,120.24,122.13,117.142,1.24%,724339
2015/5/12,121.25,121.68,119.15,119.54,114.658,-2.12%,498127
2015/5/13,120.12,120.61,119.23,119.85,114.955,0.26%,605061
2015/5/14,120.95,123.09,120.24,122.11,117.123,1.89%,637911
2015/5/15,122.27,122.49,121.14,122.25,117.257,0.11%,614748
2015/5/18,122.34,126.05,121.97,125.76,120.623,2.87%,818034
2015/5/19,125.83,129.31,125.48,127.91,122.686,1.71%,790921
2015/5/20,127.8,128.265,126.75,126.78,121.602,-0.88%,1071638
2015/5/21,126.6,127.68,126.16,126.69,121.515,-0.07%,758379
2015/5/22,126.62,128.28,125.98,126.8,121.621,0.09%,451395
2015/5/26,126.87,127.77,126.13,126.68,121.506,-0.09%,606608
2015/5/27,127.59,131.8,127.59,131.72,126.34,3.98%,1516255
2015/5/28,131.12,132.03,129,129.94,124.729,-1.35%,1281897
2015/5/29,129.66,131.31,128.932,129.58,124.383,-0.28%,654856
2015/6/1,130.02,131.24,128.93,131.03,125.775,1.12%,678506
2015/6/2,130.3,130.88,129.21,129.33,124.143,-1.30%,470682
2015/6/3,129.46,129.88,128.47,129.11,123.932,-0.17%,540732
2015/6/4,128.7,128.937,127.02,127.23,122.127,-1.46%,524419
2015/6/5,127.54,128.29,126.13,127.43,122.319,0.16%,498187
2015/6/8,127.23,128.009,126.4,126.46,121.388,-0.76%,340720
2015/6/9,126.54,127.65,126.35,127.44,122.329,0.77%,619342
2015/6/10,127.87,132.13,127.69,131.34,126.073,3.06%,1127130
2015/6/11,131.56,132.78,131,132.33,127.023,0.75%,730908
2015/6/12,131.57,132.45,130.13,130.24,125.017,-1.58%,462652
2015/6/15,129.99,131.56,128.882,131.2,125.938,0.74%,553685
2015/6/16,131,131.85,129.68,130.06,124.844,-0.87%,428436
2015/6/17,130.72,132,130.11,131.29,126.025,0.95%,401315
2015/6/18,131.6,132.7,130.675,132.11,126.812,0.62%,446865
2015/6/19,132.05,135.16,131.81,134.72,129.317,1.98%,961921
2015/6/22,135.39,136.26,134.93,135.17,129.749,0.33%,728842
2015/6/23,135.06,135.79,134.076,134.37,128.981,-0.59%,609582
2015/6/24,134.36,134.6,130.2,130.68,125.439,-2.75%,954096
2015/6/25,130.63,144,130.63,140.78,135.134,7.73%,4001262
2015/6/26,141.39,143.05,141.11,142.69,136.967,1.36%,1293068
2015/6/29,141.09,143.9,140.65,141.32,135.652,-0.96%,774954
2015/6/30,143.06,143.06,141.25,142.1,136.401,0.55%,738249
2015/7/1,143.46,144,142.65,143.09,137.351,0.70%,696747
2015/7/2,143.33,143.85,142.06,142.71,136.987,-0.27%,611476
2015/7/6,141.94,143.33,141.6,142.41,136.699,-0.21%,800861
2015/7/7,142.54,143,139.43,141.65,135.969,-0.53%,883139
2015/7/8,140.4,141.25,139.14,139.98,134.366,-1.18%,665662
2015/7/9,141.5,141.88,140.26,140.89,135.24,0.65%,508896
2015/7/10,141.82,142.69,141.34,141.76,136.075,0.62%,486999
2015/7/13,143.24,143.68,141.83,143,137.265,0.87%,553398
2015/7/14,142.91,144.15,142.31,143.38,137.63,0.27%,505718
2015/7/15,143.5,143.5,141.72,142.43,136.718,-0.66%,523188
2015/7/16,141.42,141.83,139.43,141.25,135.585,-0.83%,788768
2015/7/17,141.84,142.04,140.13,141.23,135.566,-0.01%,520854
2015/7/20,141.46,142.33,140.55,142.01,136.315,0.55%,421878
2015/7/21,141.61,142.06,139.5,140.25,134.625,-1.24%,385973
2015/7/22,140.2,141.62,139.962,141.02,135.364,0.55%,350584
2015/7/23,141.74,142.635,141.35,141.79,136.103,0.55%,405208
2015/7/24,141.45,141.88,140.31,140.99,135.335,-0.56%,500862
2015/7/27,140.8,141.07,139.35,140.29,134.664,-0.50%,645696
2015/7/28,140.74,141.51,138.27,141.37,135.7,0.77%,430907
2015/7/29,141.56,142.54,140.7,142.31,136.603,0.66%,492812
2015/7/30,141.7,142.21,140.37,141.44,135.767,-0.61%,690393
2015/7/31,143.01,148.28,143.01,145.23,139.405,2.68%,1402686
2015/8/3,145.95,146.83,145.42,145.8,139.953,0.39%,658050
2015/8/4,146.78,147.7,145.81,146.24,140.375,0.30%,508228
2015/8/5,146.57,148.57,140.88,143.96,138.186,-1.56%,1222194
2015/8/6,143.93,145,140.48,142.52,136.804,-1.00%,768126
2015/8/7,143,143.82,140.97,142.74,137.015,0.15%,420036
2015/8/10,143.7,145.09,142.62,143.28,137.534,0.38%,397859
2015/8/11,142.44,142.91,139.9,141.4,135.729,-1.31%,497677
2015/8/12,140.65,142.42,138.77,142.09,136.391,0.49%,536647
2015/8/13,143.2,143.74,141.72,142.28,136.574,0.13%,391159
2015/8/14,142.4,143.38,142.205,143.09,137.351,0.57%,567749
2015/8/17,142.67,145.87,142.01,145.5,139.665,1.68%,398336
2015/8/18,145.01,145.81,144.18,145.45,139.617,-0.03%,499730
2015/8/19,144.74,146.8,143.7,145.97,140.116,0.36%,531195
2015/8/20,144.63,145.49,141.1,141.14,135.479,-3.31%,595842
2015/8/21,139.79,141.9,137.75,140.69,135.048,-0.32%,1168870
2015/8/24,133.12,138.785,131.98,132.85,127.522,-5.57%,1495477
2015/8/25,135.57,136.99,132.12,132.18,126.879,-0.50%,906645
2015/8/26,135.47,137.44,132.05,136.9,131.41,3.57%,1104125
2015/8/27,138.02,141.51,137.835,140.97,135.316,2.97%,756488
2015/8/28,140.15,140.68,138.59,140.37,134.836,-0.43%,514888
2015/8/31,140.17,141.58,136.81,137.14,131.734,-2.30%,536092
2015/9/1,134.73,135.04,131.08,131.78,126.585,-3.91%,955424
2015/9/2,133.15,136.36,132.075,136.34,130.965,3.46%,778342
2015/9/3,137.12,138.55,134.78,135.19,129.861,-0.84%,531332
2015/9/4,134.16,135.808,133.27,135.02,129.697,-0.13%,609142
2015/9/8,137.37,138.55,136.01,137.8,132.368,2.06%,523744
2015/9/9,138.84,139.32,134.82,135.04,129.716,-2.00%,590733
2015/9/10,135.12,136.11,134.27,134.7,129.39,-0.25%,549846
2015/9/11,134.04,134.62,131.6,133.21,127.959,-1.11%,1210325
2015/9/14,133.9,135.49,133.33,135.26,129.928,1.54%,750337
2015/9/15,135.53,135.82,134.17,135.31,129.976,0.04%,491217
2015/9/16,135.82,137,135.28,136.32,130.946,0.75%,585574
2015/9/17,136.6,141.19,136.19,139.01,133.53,1.97%,702900
2015/9/18,138.43,139.83,136.79,137.23,131.82,-1.28%,1261700
2015/9/21,138.03,139.1,137.055,138.99,133.511,1.28%,894146
2015/9/22,137.26,139.54,136.21,139.32,133.828,0.24%,852624
2015/9/23,139.51,141.02,137.63,139.29,133.799,-0.02%,624447
2015/9/24,138.52,138.75,133.14,133.58,128.314,-4.10%,1174582
2015/9/25,134.72,135.37,129.17,130.02,124.894,-2.67%,723591
2015/9/28,129.54,129.91,121.64,124.89,119.967,-3.95%,1327821
2015/9/29,124.84,125.39,119.81,121.16,116.384,-2.99%,2377637
2015/9/30,122.9,125.13,122.83,124.81,119.89,3.01%,1259327
2015/10/1,125.96,127.61,124.17,126.46,121.475,1.32%,1116357
2015/10/2,123.68,127.29,123.65,127.18,122.166,0.57%,768567
2015/10/5,128.12,131.71,128.12,130.32,125.183,2.47%,797803
2015/10/6,129.72,130.85,126.8,127.9,122.858,-1.86%,693981
2015/10/7,127.9,130.23,125.89,129.64,124.529,1.36%,785410
2015/10/8,128.94,129.415,125.52,127.44,122.416,-1.70%,727937
2015/10/9,127.68,128.87,126.07,128.5,123.434,0.83%,476614
2015/10/12,128.41,129.41,127.04,129.27,124.174,0.60%,332102
2015/10/13,128.71,130.43,127.53,127.76,122.723,-1.17%,481625
2015/10/14,128.14,129.24,125.8,126.29,121.311,-1.15%,415926
2015/10/15,121.16,125.84,117.04,125.23,120.293,-0.84%,2051682
2015/10/16,125.94,129.48,125.94,128.47,123.405,2.59%,1150280
2015/10/19,128.07,129.58,127.54,129.4,124.299,0.72%,512009
2015/10/20,129.63,130.89,127.67,128.16,123.108,-0.96%,509108
2015/10/21,128.88,129.05,122.93,125.47,120.524,-2.10%,863197
2015/10/22,116.92,117.265,107.26,111.73,107.325,-10.95%,3876869
2015/10/23,112.93,117.15,112.93,115.95,111.379,3.78%,1512783
2015/10/26,115.62,118.05,114.56,117.89,113.243,1.67%,1317962
2015/10/27,117.55,119.365,114.89,116.04,111.465,-1.57%,1715455
2015/10/28,113.26,121.665,110.31,120.68,115.923,4.00%,1777295
2015/10/29,120.4,122.79,119.79,122.17,117.354,1.23%,1162259
2015/10/30,122.03,123.57,121.96,122.09,117.277,-0.07%,831840
2015/11/2,122.27,125.75,122.27,125.14,120.207,2.50%,702722
2015/11/3,124.15,125.14,121.93,122.84,117.997,-1.84%,732737
2015/11/4,123.16,125.25,122.68,125.03,120.101,1.78%,672539
2015/11/5,124.83,125.14,121.34,122.91,118.065,-1.70%,791422
2015/11/6,122.79,126.2,122.15,125.86,120.898,2.40%,585222
2015/11/9,125.36,125.92,122.56,124.44,119.534,-1.13%,421479
2015/11/10,124.53,125.69,123.08,125.1,120.168,0.53%,491596
2015/11/11,125.63,125.63,120.65,120.81,116.047,-3.43%,399542
2015/11/12,120.41,120.551,117.5,117.62,112.983,-2.64%,684178
2015/11/13,117.15,120.3,115.9,119.76,115.039,1.82%,733702
2015/11/16,119.57,120.73,119.04,120.23,115.49,0.39%,1025047
2015/11/17,120.27,123.65,119.48,122.66,117.825,2.02%,667602
2015/11/18,122.98,124.59,122.54,124.44,119.534,1.45%,622074
2015/11/19,118.69,122.79,118.47,119.08,114.386,-4.31%,1236224
2015/11/20,119.805,122.78,119.73,122.5,117.671,2.87%,584195
2015/11/23,122.74,125.26,121.53,123.4,118.535,0.73%,633331
2015/11/24,122.57,124.48,122.015,124.31,119.409,0.74%,980816
2015/11/25,124.11,124.95,122.5,123.75,118.872,-0.45%,539038
2015/11/27,124.11,125.37,123.54,124.59,119.774,0.68%,191120
2015/11/30,124.86,125.3,121.18,121.52,116.823,-2.46%,852145
2015/12/1,122.69,125.49,122.69,125.33,120.486,3.14%,624579
2015/12/2,125.06,125.881,122.67,122.94,118.188,-1.91%,440591
2015/12/3,123.08,123.42,116.71,118.16,113.593,-3.89%,911392
2015/12/4,118.76,120.4,117.91,119.45,114.833,1.09%,653156
2015/12/7,119.33,119.59,116.46,117.09,112.564,-1.98%,529036
2015/12/8,115.91,120.5,115.02,120.28,115.631,2.72%,714247
2015/12/9,119.45,122.805,118.39,118.75,114.16,-1.27%,664470
2015/12/10,118.83,121.96,118.83,121.11,116.429,1.99%,436986
2015/12/11,119.94,121.27,119.3,119.49,114.872,-1.34%,540222
2015/12/14,119.72,120.7,113.83,116.16,111.67,-2.79%,937505
2015/12/15,117.46,118.615,116.82,118.31,113.737,1.85%,431332
2015/12/16,119.55,120.64,114.96,116.75,112.238,-1.32%,874506
2015/12/17,116.58,118.44,115.66,116.12,111.632,-0.54%,599354
2015/12/18,116.31,117.27,114.8,114.96,110.517,-1.00%,702602
2015/12/21,115.24,119.73,115.21,119.14,114.535,3.64%,660515
2015/12/22,119.37,120.11,116.37,117.77,113.218,-1.15%,780833
2015/12/23,118.65,122.07,118.15,121.1,116.419,2.83%,639661
