Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,153.24,154.5,152.8,153.77,153.77,0.39%,536797
2015/3/25,153.62,154.33,151.29,151.58,151.58,-1.42%,555998
2015/3/26,150.35,151.28,148.36,150.005,150.005,-1.04%,621032
2015/3/27,149.63,151.75,149.57,151.2,151.2,0.80%,441823
2015/3/30,152.84,153.02,151,151.58,151.58,0.25%,553742
2015/3/31,151.51,152.96,150.4,150.85,150.85,-0.48%,477108
2015/4/1,150.89,151.376,148.425,150.98,150.98,0.09%,744999
2015/4/2,150.65,152.24,149.52,151.33,151.33,0.23%,691621
2015/4/6,150.87,153.87,150.677,153.27,153.27,1.28%,696328
2015/4/7,153.68,155.55,151.43,151.45,151.45,-1.19%,546785
2015/4/8,152.1,153.23,151.715,152.17,152.17,0.48%,458102
2015/4/9,152.17,153.08,150.5,151.8,151.8,-0.24%,368743
2015/4/10,151.9,152.68,151.37,151.68,151.68,-0.08%,304586
2015/4/13,151.72,152.96,151.715,152,152,0.21%,540956
2015/4/14,152.7,154.237,151.62,153.49,153.49,0.98%,785849
2015/4/15,156.2,156.3,153.39,153.56,153.56,0.05%,873609
2015/4/16,153.51,154.62,153.51,154.16,154.16,0.39%,435602
2015/4/17,154.9,155.833,151.75,152.05,152.05,-1.37%,688833
2015/4/20,152.5,153.37,150.79,151.59,151.59,-0.30%,600808
2015/4/21,151.78,153.81,151.639,152.97,152.97,0.91%,524958
2015/4/22,152.82,153.98,150.505,153.94,153.94,0.63%,529970
2015/4/23,153.88,157.909,153.12,156.99,156.99,1.98%,817720
2015/4/24,157.93,158.97,156.71,157.08,157.08,0.06%,745312
2015/4/27,156.97,157.47,155.64,155.91,155.91,-0.74%,455569
2015/4/28,155.5,156.96,154.25,154.47,154.47,-0.92%,759120
2015/4/29,154.29,154.63,151.39,151.83,151.83,-1.71%,555996
2015/4/30,151.22,153.61,150.299,151.09,151.09,-0.49%,641968
2015/5/1,150.41,154.32,150,154.27,154.27,2.10%,475829
2015/5/4,154.52,154.95,153.03,153.85,153.85,-0.27%,506001
2015/5/5,154.25,154.54,152.11,153.47,153.47,-0.25%,578786
2015/5/6,153.33,153.845,151.17,152.04,152.04,-0.93%,626970
2015/5/7,151.37,154.87,151.01,153.84,153.84,1.18%,502983
2015/5/8,155,156.224,154.18,154.29,154.29,0.29%,487735
2015/5/11,154,155.22,154,154.27,154.27,-0.01%,478676
2015/5/12,153.26,154.38,152.12,153.19,153.19,-0.70%,374294
2015/5/13,152.99,154.11,151.16,152.13,152.13,-0.69%,521840
2015/5/14,152.69,152.69,149.53,149.83,149.83,-1.51%,1027602
2015/5/15,149.41,152.06,149.12,151,151,0.78%,723068
2015/5/18,150.4,152.11,149.85,151.51,151.51,0.34%,567672
