Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,88.48,89.69,88.3,88.91,86.661,0.25%,1399014
2015/3/25,89.8,90.6,89.17,89.17,86.914,0.29%,2225823
2015/3/26,88.49,92.11,88.25,91.09,88.785,2.15%,2922548
2015/3/27,90.6,90.92,89.04,90.05,87.772,-1.14%,2245057
2015/3/30,90.64,92.317,90.51,91.86,89.536,2.01%,1230867
2015/3/31,91.13,92.15,90.27,91.16,88.854,-0.76%,1691927
2015/4/1,90.46,92.73,90.4,91.48,89.166,0.35%,1578466
2015/4/2,91.38,92.35,90.62,90.65,88.357,-0.91%,1573657
2015/4/6,90.16,94.07,90,93.63,91.261,3.29%,1582919
2015/4/7,93.61,94.19,92.75,92.94,90.589,-0.74%,985092
2015/4/8,92.97,94.14,91.74,93.17,90.813,0.25%,1444721
2015/4/9,93.01,94.72,92.7,94.66,92.265,1.60%,1423744
2015/4/10,95.24,96.05,94.55,95.96,93.532,1.37%,1400824
2015/4/13,95.96,96.75,95.6,95.83,93.405,-0.14%,1432589
2015/4/14,95.54,97.67,95.5,97.57,95.101,1.82%,1674593
2015/4/15,97.6,100.02,96.74,99.3,96.788,1.77%,1840094
2015/4/16,98.74,98.984,97.41,97.49,95.023,-1.82%,1598531
2015/4/17,96.67,97.11,95.26,96.46,94.02,-1.06%,2200638
2015/4/20,98,99.15,97,98.86,96.359,2.49%,2368764
2015/4/21,99.25,99.426,96.87,97.9,95.423,-0.97%,2766233
2015/4/22,94,97.52,93.72,95.79,93.366,-2.16%,6819245
2015/4/23,96.05,99,96,98.53,96.037,2.86%,2698203
2015/4/24,99.27,99.43,96.34,96.64,94.195,-1.92%,2093522
2015/4/27,96.98,97.88,96.03,96.52,94.078,-0.12%,1778451
2015/4/28,96.57,96.96,95.2,96.24,93.805,-0.29%,1533263
2015/4/29,96.03,98.49,95.92,97.76,95.287,1.58%,1956804
2015/4/30,97.21,98.64,96.15,96.58,94.137,-1.21%,1424144
2015/5/1,96.88,99.54,96.88,99.27,96.758,2.79%,1353459
2015/5/4,99.45,99.99,98.5,99.02,96.515,-0.25%,897739
2015/5/5,99.22,102.94,99.1,100.53,97.987,1.52%,2861188
2015/5/6,100.99,101.59,99.34,99.85,97.324,-0.68%,1873370
2015/5/7,99.51,100.05,98,99.3,96.788,-0.55%,1511341
2015/5/8,100.46,101.5,99.98,101.41,98.844,2.12%,954421
2015/5/11,101.18,101.99,99.56,101.65,99.078,0.24%,2077280
2015/5/12,100.69,103.4,100.17,102.98,100.375,1.31%,2715269
2015/5/13,103,104.68,102.906,103.48,100.862,0.49%,2138693
2015/5/14,103.83,104.24,102.47,103.05,100.443,-0.42%,981809
2015/5/15,102.91,103.48,100.9,103.17,100.56,0.12%,1636522
2015/5/18,103.21,103.79,102.445,103.61,100.989,0.43%,1055554
2015/5/19,104.16,104.27,101.64,102.01,99.429,-1.54%,1454084
2015/5/20,101.96,103.4,101.09,103.25,100.638,1.22%,1249478
2015/5/21,103.01,105.83,103.01,105.13,102.47,1.82%,2316961
2015/5/22,104.99,105.36,103.64,104.89,102.236,-0.23%,1160128
2015/5/26,104.7,105.12,103.888,104.36,101.72,-0.51%,1413883
2015/5/27,104.45,105.44,104.09,104.5,101.856,0.13%,1155461
2015/5/28,101,101,94.265,94.95,92.548,-9.14%,8954165
2015/5/29,92.67,93.32,87.895,88.91,86.661,-6.36%,10706166
2015/6/1,89.68,90.805,88.52,90.38,88.093,1.65%,3950874
2015/6/2,90.2,92.88,90.18,92.06,89.731,1.86%,2882635
2015/6/3,92.28,92.94,91.18,91.63,89.312,-0.47%,2238977
2015/6/4,90.85,91.845,90.7,91.19,88.883,-0.48%,2116462
2015/6/5,91.51,92.27,90.85,91.86,89.536,0.73%,1307538
2015/6/8,91.87,92.32,90.17,90.34,88.054,-1.65%,1635745
2015/6/9,90.23,90.58,88.46,88.88,86.631,-1.62%,2340908
2015/6/10,89.57,90.34,89.07,89.68,87.411,0.90%,1889141
2015/6/11,89.77,90.36,89.6,89.72,87.45,0.04%,1305947
2015/6/12,90.84,92.25,89.87,91.44,89.127,1.92%,2325305
2015/6/15,90.78,91.76,89.85,91.14,88.834,-0.33%,1483937
2015/6/16,89.11,89.5,86.88,88.76,86.514,-2.61%,3588740
2015/6/17,88.93,91.045,88.82,90.53,88.24,1.99%,2134303
2015/6/18,90.77,93,90.71,92.58,90.238,2.26%,1905187
2015/6/19,92.18,92.73,91.76,91.92,89.594,-0.71%,1409845
2015/6/22,92.25,92.65,91.13,92.13,89.799,0.23%,1503283
2015/6/23,92.4,93.35,92.03,92.57,90.228,0.48%,1816519
2015/6/24,92.51,92.99,91.57,92.32,89.984,-0.27%,1137596
2015/6/25,92.61,92.613,88.99,89.58,87.314,-2.97%,2111896
2015/6/26,89.85,90.03,89.12,89.97,87.694,0.44%,1568092
2015/6/29,88.88,89.388,87.08,87.24,85.033,-3.03%,2221385
2015/6/30,88.12,88.6,87.5,87.62,85.403,0.44%,1809364
2015/7/1,87.64,87.99,82.96,83.6,81.485,-4.59%,4131935
2015/7/2,83.71,84.67,83.08,84.28,82.148,0.81%,1788808
2015/7/6,83.31,85.27,82.63,83.25,81.144,-1.22%,1737608
2015/7/7,83.3,83.69,80.08,83.31,81.202,0.07%,2302253
2015/7/8,82.94,83.129,78.9,80.05,78.025,-3.91%,2950920
2015/7/9,81.5,83.31,81.34,81.37,79.311,1.65%,2446948
2015/7/10,82.44,82.59,81.18,81.39,79.331,0.02%,1463276
2015/7/13,82.21,82.63,81.45,82.01,79.935,0.76%,1647041
2015/7/14,81.9,82.55,81.41,82.32,80.237,0.38%,1446913
2015/7/15,82.07,82.21,80.08,80.13,78.103,-2.66%,2771942
2015/7/16,80.96,82.32,80.52,81.78,79.711,2.06%,2057997
2015/7/17,81.93,82.34,80.3,81.26,79.204,-0.64%,2165226
2015/7/20,80.51,80.79,79.11,79.2,77.196,-2.54%,2755526
2015/7/21,79.25,80.13,78.34,78.77,76.777,-0.54%,2252446
2015/7/22,78.41,78.48,76.82,77.63,75.666,-1.45%,3107351
2015/7/23,71.88,74.92,66.736,66.98,65.285,-13.72%,13080427
2015/7/24,66.75,66.75,62.46,64.72,63.083,-3.37%,12555502
2015/7/27,64.22,66.55,63.01,65.16,63.511,0.68%,4908154
2015/7/28,65.86,67.5,65.61,66.93,65.237,2.72%,3835539
2015/7/29,67.16,67.549,66.25,66.88,65.188,-0.07%,3717906
2015/7/30,66.01,66.72,64.88,66.54,64.857,-0.51%,2109132
2015/7/31,66.9,68.49,66.78,66.99,65.295,0.68%,2492787
2015/8/3,66.46,66.64,65.11,65.28,63.628,-2.55%,2178180
2015/8/4,66.01,66.899,65.17,65.5,63.843,0.34%,1902052
2015/8/5,66,67.06,65.29,65.47,63.814,-0.05%,1797865
2015/8/6,65.31,66.21,64.66,65.66,63.999,0.29%,2304287
2015/8/7,65.4,66.12,63.67,63.81,62.196,-2.82%,1860283
2015/8/10,64.74,67.49,64.18,66.71,65.022,4.54%,2596893
2015/8/11,65.78,67.09,64.61,65.84,64.174,-1.30%,2707361
2015/8/12,64.88,66.44,64.03,66.27,64.593,0.65%,1988794
2015/8/13,66.63,66.83,64.141,64.31,62.683,-2.96%,2266105
2015/8/14,64.27,65.39,64.27,65.33,63.677,1.59%,1711171
2015/8/17,65.16,65.66,64.2,65.58,63.921,0.38%,1130292
2015/8/18,65.1,65.93,65.1,65.51,63.853,-0.11%,1569337
2015/8/19,65.11,66.63,64.91,65.56,63.901,0.08%,1989938
2015/8/20,64.65,66.39,64.53,64.55,62.917,-1.54%,2329702
2015/8/21,63.07,63.9,61.63,61.66,60.1,-4.48%,2585651
2015/8/24,56.88,63.96,56.66,60.92,59.379,-1.20%,4298275
2015/8/25,63.47,63.79,60.8,60.83,59.291,-0.15%,3129800
2015/8/26,62.28,63.59,60.97,63.51,61.903,4.41%,2479825
2015/8/27,64.86,68.77,64.63,68.3,66.572,7.54%,3243213
2015/8/28,68.05,69.21,66.52,67.06,65.363,-1.82%,2298729
2015/8/31,66.8,69.58,66.21,69.33,67.576,3.39%,2357135
2015/9/1,66.64,67.92,65.01,65.34,63.687,-5.76%,2349234
2015/9/2,67.75,68.96,65.51,67.36,65.656,3.09%,2645376
2015/9/3,67.5,68.81,66.28,67.83,66.114,0.70%,2652062
2015/9/4,66.62,67.01,65.16,66.08,64.408,-2.58%,1543975
2015/9/8,67.47,68.23,66.38,67.99,66.27,2.89%,1563971
2015/9/9,68.94,71.98,67.955,69.22,67.469,1.81%,3724599
2015/9/10,69.12,70.47,68.57,68.98,67.235,-0.35%,1783702
2015/9/11,68.3,69.54,67.61,69.45,67.693,0.68%,1250435
2015/9/14,69.17,69.43,67.4,67.63,65.919,-2.62%,1776153
2015/9/15,67.79,69.95,67.79,69.83,68.063,3.25%,1392341
2015/9/16,69.98,72.46,69.82,72.28,70.451,3.51%,2317270
2015/9/17,71.79,72.19,69.33,69.6,67.839,-3.71%,3133072
2015/9/18,68.19,68.67,66.6,67.13,65.432,-3.55%,2777895
2015/9/21,67.91,68.62,67.07,67.61,65.899,0.72%,1925698
2015/9/22,66.52,67.2,65.668,66.7,65.012,-1.35%,1712542
2015/9/23,66.76,66.93,62.57,63.3,61.698,-5.10%,2627538
2015/9/24,62.05,62.72,59.07,61.81,60.246,-2.35%,3364761
2015/9/25,64.48,64.87,62.23,62.8,61.211,1.60%,2561230
2015/9/28,62.3,62.46,59.33,59.48,57.975,-5.29%,2150839
2015/9/29,59.68,60.49,58.62,59.94,58.424,0.77%,1527726
2015/9/30,60.6,61.73,59.3,60.05,58.531,0.18%,2321560
2015/10/1,60.58,61.97,59.46,59.84,58.326,-0.35%,3333495
2015/10/2,59,59.68,57.41,59.65,58.141,-0.32%,3802952
2015/10/5,60.5,65.03,60.45,64.41,62.78,7.98%,2624196
2015/10/6,64.37,66.32,64.27,65.73,64.067,2.05%,2256581
2015/10/7,66.78,69.23,65.93,67.9,66.182,3.30%,3156276
2015/10/8,68.18,71.53,67.6,70.53,68.746,3.87%,2639250
2015/10/9,71.06,72.05,69.62,70.76,68.97,0.33%,2170593
2015/10/12,70.51,70.74,68.94,69.52,67.761,-1.75%,1708417
2015/10/13,68.75,71.95,68.01,70.01,68.239,0.70%,2326491
2015/10/14,69.96,71.01,68.88,70.2,68.424,0.27%,2062266
2015/10/15,69.5,69.88,67.02,69.27,67.517,-1.32%,2569116
2015/10/16,69.18,69.18,66.04,66.89,65.198,-3.44%,2777012
2015/10/19,66.47,66.93,65.02,65.39,63.736,-2.24%,2218425
2015/10/20,65.02,67.73,64.22,66.21,64.535,1.25%,2860931
2015/10/21,66.68,68.2,65.01,67.2,65.5,1.50%,3430377
2015/10/22,69.82,74.845,69.28,73.9,72.03,9.97%,5773071
2015/10/23,74.15,75.97,73.1,73.96,72.089,0.08%,2677610
2015/10/26,74.14,75,73.12,73.85,71.982,-0.15%,2215601
2015/10/27,72.47,73.29,71.23,71.98,70.159,-2.53%,1568287
2015/10/28,72.32,75.15,71.93,74.69,72.8,3.76%,1608724
2015/10/29,73.95,75.42,73.27,74.26,72.381,-0.58%,1458596
2015/10/30,74.62,75.51,73.95,74.86,72.966,0.81%,1514269
2015/11/2,74.84,76.58,74.73,76.04,74.116,1.58%,1332229
2015/11/3,75.9,78.09,75.65,76.97,75.023,1.22%,1821285
2015/11/4,77.34,77.92,75.98,76.56,74.623,-0.53%,959804
2015/11/5,76.39,78.62,75.69,78.34,76.358,2.32%,2018075
2015/11/6,77.45,80.18,77.02,79.84,77.82,1.91%,1954315
2015/11/9,79.4,79.955,76.18,77.5,75.539,-2.93%,1847047
2015/11/10,77.17,78.09,76.28,77.72,75.754,0.28%,1305457
2015/11/11,77.97,77.97,76.67,76.99,75.042,-0.94%,1322302
2015/11/12,75.46,76.32,73.32,73.49,71.631,-4.55%,2541816
2015/11/13,73.53,74.82,73.11,74.14,72.264,0.88%,1879748
2015/11/16,74.06,75.29,73.63,74.75,72.859,0.82%,1575916
2015/11/17,76.22,77.86,75.41,75.66,73.746,1.22%,1998727
2015/11/18,76.12,77.21,75.84,76.99,75.042,1.76%,1425938
2015/11/19,76.47,76.96,75.02,75.56,73.648,-1.86%,1413182
2015/11/20,75.99,76.93,75.24,75.58,73.668,0.03%,1163484
2015/11/23,75.4,76.47,75.35,76.14,74.214,0.74%,1318640
2015/11/24,75.87,78.365,75.75,77.41,75.452,1.67%,2109881
2015/11/25,77.73,78.6,76.405,77.88,75.91,0.61%,1177802
2015/11/27,77.32,78.197,76.8,77.16,75.208,-0.92%,454125
2015/11/30,77.36,79.18,77.13,78.67,76.68,1.96%,1434174
2015/12/1,78.63,79.32,77.43,78.41,76.426,-0.33%,1528178
2015/12/2,77.85,78.19,75.577,76.21,74.282,-2.81%,1496631
2015/12/3,76.58,77.62,74.553,75.2,73.297,-1.33%,1578573
2015/12/4,74.7,75.47,73.99,74.14,72.264,-1.41%,1666115
2015/12/7,73.3,73.53,69.7,70.46,68.677,-4.96%,2665114
2015/12/8,68.8,69.78,67.5,67.93,66.211,-3.59%,2744791
2015/12/9,69.87,72.655,69.78,71.07,69.272,4.62%,2620404
2015/12/10,70.69,72.09,70.57,71.04,69.243,-0.04%,1319596
2015/12/11,69.62,70.51,67.28,67.56,65.851,-4.90%,1841080
2015/12/14,67.07,67.28,64.03,66.13,64.457,-2.12%,2551287
2015/12/15,67.21,68.91,66.96,67.58,65.87,2.19%,1676330
2015/12/16,68.22,69.39,67.54,69.23,67.478,2.44%,1617401
2015/12/17,69.23,69.23,66.87,66.9,65.207,-3.37%,1711998
2015/12/18,66.71,68.25,66.03,67.18,65.48,0.42%,2662425
2015/12/21,67.5,70.15,67.36,69.05,67.303,2.78%,2029748
2015/12/22,69.31,72.67,69.05,72.05,70.227,4.34%,2131743
2015/12/23,72.78,75.09,72.505,74.82,72.927,3.84%,2115241
2015/12/24,74.76,75.44,74.5,74.6,72.713,-0.29%,779889
2015/12/28,73.43,73.75,71.055,72.47,70.636,-2.86%,1524568
2015/12/29,73.08,73.87,72.305,73.32,71.465,1.17%,1127150
2015/12/30,72.8,73.6,72.4,72.68,70.841,-0.87%,1091269
2015/12/31,72.07,73.124,71.99,72.54,70.705,-0.19%,1540385
2016/1/4,71.11,71.51,68.73,70.76,68.97,-2.45%,2257294
2016/1/5,70.85,71.3,69.39,70.05,68.278,-1.00%,1605696
2016/1/6,68.75,69.14,66.01,66.7,65.012,-4.78%,2748824
2016/1/7,64.89,64.96,61.71,62.36,60.782,-6.51%,3385080
2016/1/8,63.05,63.78,61.51,61.81,60.246,-0.88%,2025673
2016/1/11,62.17,62.36,59.765,60.96,59.418,-1.38%,1678690
2016/1/12,61.99,63.85,59.66,61.28,59.73,0.52%,2168239
2016/1/13,61.96,63.52,56.6,57.74,56.279,-5.78%,2824932
2016/1/14,58.23,58.32,54.67,57.14,55.694,-1.04%,3572792
2016/1/15,55.56,56,53.61,54.9,53.511,-3.92%,3140215
