Date,Open,High,Low,Close,Adj. Close,Change,Volume
2023/10/5,76.3,76.99,72.65,74.45,74.084,-4.31%,15351915
2023/10/6,73.04,78.47,73.04,77.98,77.597,4.74%,7781111
2023/10/9,76.75,78,73.734,74.61,74.244,-4.32%,7000973
2023/10/10,73.96,75.51,72.5,75,74.632,0.52%,5385623
2023/10/11,74.44,76.56,73.61,74.47,74.104,-0.71%,4602585
2023/10/12,73.75,75.3,72.75,74.23,73.865,-0.32%,4668757
2023/10/13,73.63,73.99,70.47,71.85,71.497,-3.21%,5286581
2023/10/16,71.62,74.84,71.62,74.21,73.846,3.28%,4555029
2023/10/17,73.13,75.125,73.01,74.48,74.114,0.36%,2584906
2023/10/18,73.5,73.931,72.271,72.45,72.094,-2.73%,2959766
2023/10/19,71.82,72.74,69.95,70.29,69.945,-2.98%,2867355
2023/10/20,70.4,70.78,68.9,69.93,69.587,-0.51%,3151456
2023/10/23,69.3,72.47,67.65,71.9,71.547,2.82%,4089800
2023/10/24,72.29,73.71,71.79,72.01,71.656,0.15%,3432182
2023/10/25,71.3,72.335,69.78,70.79,70.442,-1.69%,3298234
2023/10/26,66.33,72.23,65.51,70,69.656,-1.12%,3537099
2023/10/27,68.64,69.44,67.75,67.99,67.656,-2.87%,3411996
2023/10/30,68.48,69.33,67.42,68.36,68.024,0.54%,3393797
2023/10/31,68.92,69.73,67.65,69,68.661,0.94%,3370678
2023/11/1,68.16,69.19,67.47,67.51,67.178,-2.16%,2503527
2023/11/2,68,70.54,66.69,70.28,69.935,4.10%,2848740
2023/11/3,70.47,71.09,69.06,70.8,70.452,0.74%,2225964
2023/11/6,70.05,70.07,68.08,68.26,67.925,-3.59%,2854957
2023/11/7,67.75,70.25,67.36,70.07,69.726,2.65%,2133633
2023/11/8,69.8,70.32,69.55,69.8,69.457,-0.39%,2053773
2023/11/9,69.09,70.32,69.09,69.63,69.288,-0.24%,2020509
2023/11/10,69.31,70.78,69.14,70.55,70.204,1.32%,1645264
2023/11/13,70.28,73.2,70.18,72.98,72.622,3.44%,2964323
2023/11/14,73.85,74.1,73.01,73.63,73.268,0.89%,2814594
2023/11/15,73.47,74.64,73.01,73.91,73.547,0.38%,3437210
2023/11/16,72.74,73.06,70.58,70.88,70.532,-4.10%,2446603
2023/11/17,70.9,71.37,70.06,70.99,70.641,0.16%,1500407
2023/11/20,71,71.35,70.58,70.76,70.413,-0.32%,1814335
2023/11/21,70.8,72.8,70.47,72.31,71.955,2.19%,1767834
2023/11/22,72.8,73.83,72.34,72.94,72.582,0.87%,1906288
2023/11/24,72.66,74.13,72.23,74.01,73.647,1.47%,823414
2023/11/27,73.82,73.99,73,73.5,73.139,-0.69%,1649887
2023/11/28,72.925,74.539,72.85,73.32,72.96,-0.24%,2062140
2023/11/29,73.4,75.25,73.24,74.22,73.856,1.23%,2519236
2023/11/30,74.7,77.62,74.7,77.25,76.871,4.08%,8454137
2023/12/1,77.17,77.17,75.97,76.51,76.134,-0.96%,2039378
2023/12/4,75.97,76.92,75.49,75.78,75.408,-0.95%,1625807
2023/12/5,75.4,76.14,75.219,75.55,75.179,-0.30%,1411618
2023/12/6,75.55,76.49,75.02,75.83,75.458,0.37%,2000895
2023/12/7,75.8,76.29,74.62,74.63,74.264,-1.58%,1295954
2023/12/8,74.6,75.645,74.27,75.43,75.06,1.07%,1131349
2023/12/11,75,77.36,74.65,76.82,76.443,1.84%,1649031
2023/12/12,76.37,77.88,75.78,77.45,77.07,0.82%,2329324
