Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,84.48,85.51,84.2,85.14,78.294,0.98%,1431783
2015/3/25,85.48,86.02,83.94,83.94,77.19,-1.41%,1116876
2015/3/26,83.46,84.32,83.02,84.01,77.255,0.08%,713119
2015/3/27,83.79,84.625,83.79,84.17,77.402,0.19%,565465
2015/3/30,84.58,85.64,84.5,85.39,78.524,1.45%,601411
2015/3/31,85,85.47,84.3,84.3,77.521,-1.28%,847423
2015/4/1,84.36,84.46,83.46,84.22,77.448,-0.09%,1149944
2015/4/2,84,85.01,83.664,84.31,77.531,0.11%,870809
2015/4/6,84.06,85.05,84.05,84.47,77.678,0.19%,601642
2015/4/7,84.5,84.82,83.12,83.23,76.538,-1.47%,1109527
2015/4/8,82.97,83.23,81.73,83.2,76.51,-0.04%,1469863
2015/4/9,82.83,83.61,82.31,82.79,76.133,-0.49%,767422
2015/4/10,83.09,83.66,82.54,83.34,76.639,0.66%,786508
2015/4/13,83,83.57,82.11,83.03,76.354,-0.37%,855403
2015/4/14,84.26,84.37,82.52,83.25,76.556,0.26%,1092560
2015/4/15,83.5,84.74,83.16,83.81,77.071,0.67%,829786
2015/4/16,83.7,83.74,82.36,82.75,76.096,-1.26%,1148228
2015/4/17,82.02,82.6,81.29,81.93,75.342,-0.99%,1000071
2015/4/20,82.26,82.47,81.53,81.77,75.195,-0.20%,651816
2015/4/21,81.89,82.14,81.2,81.37,74.827,-0.49%,625657
2015/4/22,81.46,81.66,80.58,80.91,74.404,-0.57%,807090
2015/4/23,80.88,82.6,80.66,82.33,75.71,1.76%,1050939
2015/4/24,82.45,83.49,82.12,83.47,76.758,1.38%,1105980
2015/4/27,83.96,84.03,82.92,83.12,76.436,-0.42%,689397
2015/4/28,82.78,83.14,81.82,83.09,76.409,-0.04%,867640
2015/4/29,82.43,83.38,81.78,83.07,76.39,-0.02%,723968
2015/4/30,83.08,86.23,83.08,85.52,78.643,2.95%,1937474
2015/5/1,86.12,88.57,85.69,88.33,81.227,3.29%,1859639
2015/5/4,88.24,89.569,87.97,88.1,81.016,-0.26%,1862285
2015/5/5,85.54,87.52,84.72,85.5,78.625,-2.95%,1773405
2015/5/6,86.48,88,85.16,87.35,80.326,2.16%,997298
2015/5/7,86.95,89.93,86.84,89.5,82.303,2.46%,1422511
2015/5/8,90,91.1,89.674,90.47,83.195,1.08%,947107
2015/5/11,90.13,91.79,89.98,91.29,83.949,0.91%,977835
