Date,Open,High,Low,Close,Adj. Close,Change,Volume
2016/10/5,16,16.5,15.5,15.5,11.434,-3.13%,569726
2016/10/6,15.5,15.9,15.5,15.75,11.619,1.61%,264911
2016/10/7,15.9,15.9,15.7,15.9,11.73,0.95%,110902
2016/10/10,15.95,25.24,15.9,16,11.803,0.63%,6253
2016/10/11,16.1,16.5,16,16.35,12.062,2.19%,158436
2016/10/12,16.35,17,16,16.35,12.062,0.00%,160545
2016/10/13,16.5,16.5,16,16.1,11.877,-1.53%,265820
2016/10/14,16.05,16.1,16.05,16.1,11.877,0.00%,45516
2016/10/17,16.15,16.15,16.1,16.1,11.877,0.00%,20563
2016/10/18,16.14,16.14,15.96,16,11.803,-0.62%,464291
2016/10/19,15.75,16,15.75,15.99,11.796,-0.06%,140446
2016/10/20,15.9,16,15.75,15.9,11.73,-0.56%,653858
2016/10/21,15.65,15.8,15.5,15.7,11.582,-1.26%,27538
2016/10/24,15.75,15.75,15.5,15.68,11.567,-0.13%,130314
2016/10/25,15.51,15.58,15.25,15.58,11.493,-0.64%,6159
2016/10/26,15.5,15.5,15.35,15.45,11.398,-0.83%,52294
2016/10/27,15.35,15.35,15.16,15.2,11.213,-1.62%,271128
2016/10/28,15.2,15.45,15,15.2,11.213,0.00%,2185191
2016/10/31,15.25,15.25,15,15.2,11.213,0.00%,25864
2016/11/1,15,15,14.9,15,11.066,-1.32%,11800
2016/11/2,14.8,14.8,13.5,13.6,10.033,-9.33%,509897
2016/11/3,13.75,13.8,13.6,13.6,10.033,0.00%,122275
2016/11/4,13.6,14,13.6,14,10.328,2.94%,603640
2016/11/7,14.1,14.25,14.1,14.1,10.402,0.71%,2250
2016/11/8,14,14.25,13.9,14.2,10.475,0.71%,335116
2016/11/9,13.9,14.15,13.9,14.05,10.365,-1.06%,106276
2016/11/10,14.1,14.23,14.1,14.23,10.498,1.28%,2629003
2016/11/11,14.4,14.9,14.4,14.71,10.852,3.37%,13372
2016/11/14,14.7,14.95,14.4,14.4,10.623,-2.11%,121500
2016/11/15,14.4,14.45,14.32,14.32,10.564,-0.56%,798608
2016/11/16,14.35,14.35,14.1,14.1,10.402,-1.54%,65584
2016/11/17,14.1,14.1,14,14.05,10.365,-0.35%,60400
2016/11/18,14.1,14.15,13.9,14.1,10.402,0.36%,728650
2016/11/21,14,14.04,14,14,10.328,-0.71%,28025
2016/11/22,14.05,14.05,14.05,14.05,10.365,0.36%,100008
2016/11/23,14,14,14,14,10.328,-0.36%,50000
2016/11/28,14.05,14.15,14.05,14.15,10.439,1.07%,542
2016/11/29,14.15,14.15,13.75,13.75,10.143,-2.83%,124579
2016/11/30,13.85,13.95,13.8,13.95,10.291,1.45%,291546
2016/12/1,14.01,14.01,13.96,13.96,10.298,0.07%,127275
2016/12/2,13.9,13.9,13.65,13.85,10.217,-0.79%,18375
2016/12/5,14.15,14.5,14,14.45,10.66,4.33%,530574
2016/12/6,15.3,15.65,15,15.6,11.508,7.96%,925616
2016/12/7,15.58,15.6,15.45,15.5,11.434,-0.64%,523662
2016/12/8,15.55,16,15.5,15.9,11.73,2.58%,625842
2016/12/9,16,16.55,15.9,16.4,12.098,3.14%,588429
2016/12/12,16.5,16.5,16.25,16.25,11.988,-0.91%,982710
