Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,73.87,74.37,73.38,73.38,41.193,-0.92%,2754134
2015/3/25,73.39,73.73,71.99,72,40.419,-1.88%,2834663
2015/3/26,71.59,72.4,71.41,71.66,40.228,-0.47%,3023445
2015/3/27,71.78,72.49,71.69,72.32,40.598,0.92%,2091276
2015/3/30,72.43,73.73,72.42,73.65,41.345,1.84%,1958189
2015/3/31,73.96,74,72.882,73.02,40.991,-0.86%,1878552
2015/4/1,73.11,73.45,72.42,73.03,40.997,0.01%,1488797
2015/4/2,72.9,73.55,72.79,73.23,41.109,0.27%,1353070
2015/4/6,75.21,77.355,74.94,76.9,43.169,5.01%,4659780
2015/4/7,76.71,76.75,74.785,74.97,42.086,-2.51%,4043651
2015/4/8,75.07,75.44,74.69,75.1,42.159,0.17%,2091189
2015/4/9,74.91,74.93,73.79,74.12,41.609,-1.30%,2808850
2015/4/10,74.76,75.25,73.73,74.05,41.569,-0.09%,2069728
2015/4/13,74.01,74.12,73.33,73.33,41.165,-0.97%,1577244
2015/4/14,73.53,74.2,73.5,73.85,41.457,0.71%,1336951
2015/4/15,73.85,74.05,73.14,73.17,41.075,-0.92%,2164356
2015/4/16,72.87,73.74,72.38,73.29,41.143,0.16%,1994662
2015/4/17,72.82,73.36,72.56,72.91,40.929,-0.52%,2038584
2015/4/20,72.95,73.53,72.65,73.15,41.064,0.33%,1698973
2015/4/21,73.15,73.68,72.76,72.79,40.862,-0.49%,1531222
2015/4/22,72.75,73.22,72.52,72.71,40.817,-0.11%,1532262
2015/4/23,72.51,73.35,72.51,73.06,41.014,0.48%,1626201
2015/4/24,74.06,74.06,72.51,72.82,40.879,-0.33%,2039879
2015/4/27,73.06,73.8,72.15,72.32,40.598,-0.69%,1620444
2015/4/28,72.18,72.74,71.62,72.62,40.767,0.41%,1645388
2015/4/29,72,72.49,70.51,70.87,39.784,-2.41%,2564907
2015/4/30,70.5,70.56,68.53,68.9,38.678,-2.78%,2751207
2015/5/1,68.87,69.96,68.87,69.34,38.925,0.64%,2121726
2015/5/4,69.42,69.61,68.64,68.78,38.611,-0.81%,1892878
2015/5/5,68.65,68.77,67.54,67.74,38.027,-1.51%,3123066
2015/5/6,68.01,68.01,66.66,67.1,37.668,-0.94%,3024301
2015/5/7,67.35,68.77,67.11,68.46,38.431,2.03%,2756642
2015/5/8,69.26,70.41,69.08,69.12,38.802,0.96%,2294404
2015/5/11,68.79,69.36,67.84,67.9,38.117,-1.77%,1955291
2015/5/12,67.46,68.6,66.5,68.07,38.212,0.25%,2760438
2015/5/13,68.31,68.8,66.975,67.09,37.662,-1.44%,1908124
2015/5/14,67.56,68.23,67.4,68.2,38.285,1.65%,1562261
2015/5/15,68.52,69.49,68.36,69.4,38.959,1.76%,3301982
2015/5/18,69.14,69.48,68.93,69.19,38.841,-0.30%,1476436
2015/5/19,68.82,69.65,68.82,69.21,38.852,0.03%,1233939
2015/5/20,69.19,69.72,68.87,68.89,38.673,-0.46%,1202801
2015/5/21,69.02,69.07,67.91,68.32,38.353,-0.83%,1400497
2015/5/22,68.01,68.81,67.46,68.28,38.33,-0.06%,1302144
2015/5/26,68.24,68.29,67.5,67.72,38.016,-0.82%,1218460
2015/5/27,67.96,68.36,67.7,67.83,38.078,0.16%,1718415
2015/5/28,67.95,67.95,66.94,67.13,37.685,-1.03%,3830836
2015/5/29,67.15,67.68,66.16,66.52,37.342,-0.91%,3205839
2015/6/1,66.59,67.46,66.55,67.14,37.69,0.93%,2184155
2015/6/2,67.09,67.32,66.43,66.7,37.443,-0.66%,2520133
2015/6/3,65.96,66,64.7,64.8,36.82,-2.85%,2583289
2015/6/4,64.76,65.19,64.14,64.92,36.888,0.19%,2542249
2015/6/5,64.1,64.408,62.79,63.56,36.116,-2.09%,4843958
2015/6/8,63.6,64.26,63.25,63.95,36.337,0.61%,2419656
2015/6/9,63.81,63.83,63.17,63.23,35.928,-1.13%,1658032
2015/6/10,63.18,64.36,63.18,63.71,36.201,0.76%,1557317
2015/6/11,64.05,64.331,63.871,64.07,36.405,0.57%,2213354
2015/6/12,64.07,64.32,63.695,63.97,36.349,-0.16%,1437133
2015/6/15,64.04,64.386,63.56,63.56,36.116,-0.64%,1576912
2015/6/16,63.58,64.48,63.47,64.18,36.468,0.98%,2072195
2015/6/17,64.15,64.625,63.49,64.4,36.593,0.34%,1781505
2015/6/18,64.58,65.64,64.53,65.12,37.002,1.12%,2046303
2015/6/19,65.03,65.495,64.52,65.19,37.042,0.11%,3408549
2015/6/22,65.36,65.5,64.11,64.2,36.479,-1.52%,2253502
2015/6/23,63.98,64.2,63.12,63.58,36.127,-0.97%,1721619
2015/6/24,63.62,63.81,62.91,62.95,35.769,-0.99%,1810168
2015/6/25,62.91,63,61.62,61.82,35.127,-1.80%,4125758
2015/6/26,61.76,63.14,61.64,62.79,35.678,1.57%,5275956
2015/6/29,63.01,63.53,62.34,62.38,35.445,-0.65%,2630728
2015/6/30,62.74,62.84,62,62.09,35.28,-0.46%,1686647
2015/7/1,62.24,62.62,61.8,62.61,35.576,0.84%,2555150
2015/7/2,62.88,63.79,62.76,62.95,35.769,0.54%,2393316
2015/7/6,62.61,63.01,62.24,62.83,35.701,-0.19%,3478501
2015/7/7,63.41,64.65,63.27,64.39,36.587,2.48%,4567204
2015/7/8,63.91,64.58,63.85,64.13,36.439,-0.40%,2830190
2015/7/9,64.63,65,63.97,64.09,36.417,-0.06%,2657907
2015/7/10,64.29,65.03,63.77,64.55,36.678,0.72%,1872570
2015/7/13,65.11,65.44,64.174,64.59,36.701,0.06%,2357942
2015/7/14,64.6,64.86,64.2,64.25,36.508,-0.53%,1557667
2015/7/15,64.29,64.71,64.09,64.3,36.536,0.08%,2192232
2015/7/16,64.44,64.78,64.14,64.59,36.701,0.45%,2112812
2015/7/17,64.41,64.71,64.06,64.44,36.616,-0.23%,1711567
2015/7/20,64.27,64.35,63.89,64.31,36.542,-0.20%,1698275
2015/7/21,64.15,64.39,63.92,63.94,36.331,-0.58%,2589570
