Date,Open,High,Low,Close,Adj. Close,Change,Volume
2020/11/17,15.39,17.93,15.3,16.34,13.861,3.03%,60532936
2020/11/18,16.46,16.99,15.95,16.19,13.733,-0.92%,31517441
2020/11/19,16,18.2,15.99,18.11,15.362,11.86%,35794059
2020/11/20,18.4,18.42,17,17.13,14.531,-5.41%,38015407
2020/11/23,17.236,17.25,16.5,16.77,14.225,-2.10%,20717971
2020/11/24,16.735,17,16.29,16.9,14.336,0.78%,22966745
2020/11/25,16.68,17.31,16.55,17.07,14.48,1.01%,15353777
2020/11/27,17.1,17.37,16.9,17.05,14.463,-0.12%,11024657
2020/11/30,17.03,17.16,16.8,16.82,14.268,-1.35%,21166326
2020/12/1,16.88,17.15,16.74,17.01,14.429,1.13%,15032761
2020/12/2,16.934,17.27,16.84,17.125,14.526,0.68%,22173216
2020/12/3,17.136,17.47,16.94,17.37,14.734,1.43%,16848384
2020/12/4,17.33,17.7,17.25,17.6,14.929,1.32%,15946922
2020/12/7,17.61,18,17.52,17.57,14.904,-0.17%,10008659
2020/12/8,17.41,17.93,17.405,17.84,15.133,1.54%,9303086
2020/12/9,17.85,17.975,17.5,17.52,14.861,-1.79%,12701883
2020/12/10,17.32,17.85,17.3,17.69,15.006,0.97%,9422490
2020/12/11,17.5,17.75,17.08,17.34,14.709,-1.98%,15842674
2020/12/14,17.34,17.53,17.08,17.33,14.7,-0.06%,16694055
2020/12/15,17.4,17.87,17.2,17.73,15.04,2.31%,13189112
2020/12/16,17.62,18.27,17.56,17.86,15.15,0.73%,17203789
2020/12/17,17.75,17.89,17.55,17.72,15.031,-0.78%,14484983
2020/12/18,17.7,17.8,17.515,17.75,15.057,0.17%,18226276
2020/12/21,17.4,17.55,17.25,17.39,14.751,-2.03%,14799820
2020/12/22,17.43,17.84,17.27,17.74,15.048,2.01%,11415468
2020/12/23,17.747,18.04,17.66,17.88,15.167,0.79%,6303385
2020/12/24,17.8,17.92,17.67,17.77,15.074,-0.62%,1946680
2020/12/28,17.856,17.88,17.62,17.74,15.048,-0.17%,4929334
2020/12/29,17.661,17.8,17.52,17.75,15.057,0.06%,4811911
2020/12/30,17.61,18.18,17.58,18.13,15.379,2.14%,10332307
2020/12/31,18.22,18.86,18.03,18.74,15.896,3.36%,14375983
2021/1/4,18.66,18.77,18.21,18.54,15.727,-1.07%,12215605
2021/1/5,18.49,18.605,17.81,18.1,15.353,-2.37%,12217787
2021/1/6,18.17,18.675,18.1,18.49,15.684,2.15%,8625061
2021/1/7,18.52,18.69,18.36,18.52,15.71,0.16%,7195092
2021/1/8,18.42,18.6,18.03,18.3,15.523,-1.19%,6893458
2021/1/11,18.2,18.66,18.12,18.47,15.667,0.93%,6961189
2021/1/12,18.45,18.67,18.2,18.24,15.472,-1.25%,7677583
2021/1/13,18.27,18.71,18.2,18.4,15.608,0.88%,9185867
2021/1/14,18.337,18.355,16.75,17.31,14.683,-5.92%,44993158
2021/1/15,17.11,17.2,16.732,17.05,14.463,-1.50%,19765045
2021/1/19,17.26,17.56,17.08,17.44,14.794,2.29%,10847169
2021/1/20,17.45,17.71,17.31,17.69,15.006,1.43%,9953076
2021/1/21,17.36,17.62,16.8,17.31,14.683,-2.15%,13895074
2021/1/22,17.244,17.52,17.1,17.43,14.785,0.69%,5726564
2021/1/25,17.26,17.4,17.125,17.23,14.616,-1.15%,9460056
2021/1/26,17.2,17.36,17.08,17.09,14.497,-0.81%,5968669
2021/1/27,17,17.17,16.61,16.86,14.302,-1.35%,14517707
2021/1/28,16.9,17.445,16.84,17.19,14.582,1.96%,9215227
2021/1/29,17.25,17.58,16.9,16.99,14.412,-1.16%,8256088
2021/2/1,17.15,17.58,17.03,17.445,14.798,2.68%,8954928
2021/2/2,17.57,17.75,17.36,17.38,14.743,-0.37%,9185721
2021/2/3,17.3,18.38,17.3,18.09,15.345,4.09%,15935468
2021/2/4,18.11,18.28,17.71,18,15.269,-0.50%,7266619
2021/2/5,18.02,18.075,17.64,17.895,15.18,-0.58%,7864581
2021/2/8,17.99,18.04,17.715,18,15.269,0.59%,7331816
2021/2/9,17.85,18.55,17.84,18.47,15.667,2.61%,6552614
2021/2/10,18.53,18.67,18.21,18.39,15.599,-0.43%,7284584
2021/2/11,18.22,18.44,18.07,18.24,15.472,-0.82%,5498144
2021/2/12,18.1,18.4,18.03,18.24,15.472,0.00%,4469254
2021/2/16,18.35,18.39,18.09,18.335,15.553,0.52%,5009322
2021/2/17,18.28,18.545,18.17,18.52,15.71,1.01%,4675977
2021/2/18,18.61,18.68,18.25,18.27,15.498,-1.35%,6811975
2021/2/19,18.22,18.48,18.16,18.21,15.447,-0.33%,10868936
2021/2/22,16.547,16.8,15.49,15.5,13.148,-14.88%,39258346
2021/2/23,15.74,15.77,14.93,15.22,12.911,-1.81%,21414370
2021/2/24,15.33,15.47,14.94,15.3,12.978,0.53%,15465558
2021/2/25,15.29,15.38,14.855,15.05,12.766,-1.63%,16256947
2021/2/26,14.93,15,14.56,14.85,12.597,-1.33%,15691014
2021/3/1,15.049,15.3,14.615,14.72,12.486,-0.88%,11913861
2021/3/2,14.55,14.7,14.135,14.29,12.122,-2.92%,16236590
2021/3/3,14.17,14.24,13.531,13.88,11.774,-2.87%,24164102
2021/3/4,13.671,13.8,13.31,13.59,11.528,-2.09%,18720691
2021/3/5,13.69,13.99,13.36,13.91,11.799,2.35%,13295277
2021/3/8,13.76,14.05,13.68,13.83,11.731,-0.58%,11899589
2021/3/9,13.93,14.215,13.71,13.91,11.799,0.58%,10908802
2021/3/10,14.05,14.23,13.83,14.06,11.927,1.08%,8696611
2021/3/11,14.13,14.22,13.92,14.1,11.96,0.28%,8355305
2021/3/12,14.07,14.385,13.988,14.36,12.181,1.84%,7784448
2021/3/15,14.27,14.685,14.23,14.67,12.444,2.16%,9915013
2021/3/16,14.67,14.73,14.444,14.53,12.325,-0.95%,10558616
2021/3/17,14.43,15.1,14.42,15.08,12.792,3.79%,10784529
2021/3/18,14.97,15.03,14.5,14.59,12.376,-3.25%,9877532
2021/3/19,14.66,14.88,14.527,14.78,12.537,1.30%,11373733
2021/3/22,14.91,14.935,14.63,14.79,12.546,0.07%,7738991
2021/3/23,14.75,14.75,14.115,14.17,12.02,-4.19%,8881196
2021/3/24,14.15,14.22,13.941,14.01,11.884,-1.13%,9597144
2021/3/25,14.15,14.15,13.923,14.02,11.893,0.07%,10229296
2021/3/26,14.07,14.44,14.02,14.36,12.181,2.43%,6336236
2021/3/29,14.267,14.42,14.17,14.32,12.147,-0.28%,6174160
2021/3/30,14.287,14.32,13.945,14.15,12.003,-1.19%,11407822
2021/3/31,14.095,14.28,13.89,13.97,11.85,-1.27%,13875776
2021/4/1,13.96,14.08,13.86,13.9,11.791,-0.50%,7053676
2021/4/5,13.92,14.16,13.86,14.05,11.918,1.08%,7957570
2021/4/6,13.95,14.1,13.79,13.83,11.731,-1.57%,7906722
2021/4/7,13.87,13.88,13.36,13.39,11.358,-3.18%,17606411
2021/4/8,13.41,13.49,13.11,13.29,11.273,-0.75%,12121140
2021/4/9,13.3,13.405,13.21,13.395,11.362,0.79%,9011368
2021/4/12,13.43,13.44,13.2,13.26,11.248,-1.01%,7928744
2021/4/13,13.24,13.295,12.94,12.97,11.002,-2.19%,11636094
2021/4/14,13.02,13.36,13.01,13.21,11.206,1.85%,8852930
2021/4/15,13.22,13.43,13.153,13.28,11.265,0.53%,7554514
2021/4/16,13.39,13.47,13.13,13.4,11.367,0.90%,7869084
2021/4/19,13.4,13.53,13.22,13.25,11.239,-1.12%,8939812
2021/4/20,13.16,13.21,12.97,13.11,11.121,-1.06%,8633780
2021/4/21,13.045,13.31,12.99,13.3,11.282,1.45%,7782000
2021/4/22,13.31,13.6,13.289,13.36,11.333,0.45%,7805486
2021/4/23,13.38,13.455,13.215,13.36,11.333,0.00%,4872251
2021/4/26,13.4,13.68,13.39,13.55,11.494,1.42%,5775368
2021/4/27,13.52,13.59,13.19,13.28,11.265,-1.99%,17598887
2021/4/28,13.33,13.52,13.28,13.46,11.418,1.36%,6341270
2021/4/29,13.55,13.66,13.23,13.36,11.333,-0.74%,7950879
2021/4/30,13.395,13.52,13.26,13.3,11.282,-0.45%,6980014
2021/5/3,13.26,13.55,13.19,13.5,11.451,1.50%,6551907
2021/5/4,13.49,13.64,13.26,13.4,11.367,-0.74%,10607869
2021/5/5,13.4,13.7,13.3,13.64,11.57,1.79%,12021958
2021/5/6,13.62,13.94,13.435,13.93,11.816,2.13%,12011990
2021/5/7,13.822,14.1,13.78,14.08,11.943,1.08%,12729327
2021/5/10,14.98,15.475,14.8,15.04,12.758,6.82%,30043815
2021/5/11,14.937,15.5,14.85,15.14,12.843,0.66%,11072430
2021/5/12,15.2,15.855,15.17,15.72,13.335,3.83%,20028273
2021/5/13,15.56,16.05,15.55,15.93,13.513,1.34%,10777580
2021/5/14,16.03,16.1,15.75,16,13.572,0.44%,9219637
2021/5/17,15.98,16.29,15.95,16.15,13.699,0.94%,14821635
2021/5/18,16.1,16.15,15.8,16.05,13.615,-0.62%,8309318
2021/5/19,15.95,15.95,15.45,15.5,13.148,-3.43%,11168039
2021/5/20,15.54,15.71,15.37,15.59,13.224,0.58%,11514201
2021/5/21,15.5,15.654,15.29,15.31,13.08,-1.80%,10763915
2021/5/24,15.374,15.535,15.29,15.36,13.123,0.33%,9096732
2021/5/25,15.32,15.34,14.93,14.98,12.798,-2.47%,7633696
2021/5/26,15.008,15.18,14.87,15.16,12.952,1.20%,5402887
2021/5/27,15.175,15.27,15.08,15.14,12.935,-0.13%,10649152
2021/5/28,15.2,15.33,15.11,15.24,13.02,0.66%,4537889
2021/6/1,15.255,15.376,15.155,15.26,13.037,0.13%,5467991
2021/6/2,15.26,15.56,15.12,15.46,13.208,1.31%,6202298
2021/6/3,15.44,15.535,15.365,15.41,13.166,-0.32%,5189854
2021/6/4,15.43,15.475,15.265,15.39,13.149,-0.13%,5124847
2021/6/7,15.39,15.46,15.27,15.39,13.149,0.00%,5966929
2021/6/8,15.42,15.57,15.23,15.49,13.234,0.65%,5362760
