Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,96.01,96.53,95.23,96.03,90.746,-0.20%,331814
2015/3/25,96.15,96.42,95.25,95.27,90.028,-0.79%,434690
2015/3/26,95.1,95.37,94.1,94.23,89.045,-1.09%,640701
2015/3/27,94.05,94.72,93.65,94.55,89.348,0.34%,362284
2015/3/30,95,96.82,95,96.41,91.105,1.97%,323839
2015/3/31,96.1,96.1,94.47,95.01,89.782,-1.45%,771027
2015/4/1,95.01,95.15,93.49,94.2,89.017,-0.85%,518747
2015/4/2,94.32,95.41,94.101,94.29,89.102,0.10%,310632
2015/4/6,94.09,95.79,93.965,95.43,90.179,1.21%,502050
2015/4/7,95.74,96.15,94.6,94.67,89.461,-0.80%,314261
2015/4/8,94.64,95.075,93.99,94.91,89.688,0.25%,337299
2015/4/9,94.69,95.29,94.41,94.84,89.622,-0.07%,268172
2015/4/10,95.01,95.96,94.87,95.8,90.529,1.01%,332925
2015/4/13,95.91,96.175,95.46,95.46,90.208,-0.35%,277651
2015/4/14,95.12,95.7,94.13,94.68,89.471,-0.82%,513401
2015/4/15,95.33,96.75,95.11,96.35,91.049,1.76%,507491
2015/4/16,96.23,96.92,95.57,96.33,91.03,-0.02%,435989
2015/4/17,95.57,95.87,94.23,95.09,89.858,-1.29%,475064
2015/4/20,95.67,96.35,95.186,96.22,90.926,1.19%,590909
2015/4/21,96.45,96.45,95.08,95.77,90.501,-0.47%,504680
2015/4/22,98.04,99.62,96.85,98.61,93.184,2.97%,135043
2015/4/23,98.63,99.335,98.19,98.27,92.863,-0.34%,689987
2015/4/24,98.43,98.43,96.83,96.94,91.606,-1.35%,582417
2015/4/27,97.12,97.63,95.94,96.24,90.945,-0.72%,751108
2015/4/28,96.27,97.09,95.355,96.86,91.531,0.64%,583813
2015/4/29,96.59,96.67,95.28,96,90.718,-0.89%,455542
2015/4/30,95.76,95.88,93.801,94.05,88.875,-2.03%,715420
2015/5/1,95.9,101.49,95.65,99.82,94.328,6.14%,1623970
2015/5/4,100.27,101.55,99.6,101.25,95.679,1.43%,967396
2015/5/5,101.05,101.97,98.82,99.16,93.704,-2.06%,533535
2015/5/6,99.44,99.875,98.183,99.09,93.638,-0.07%,464885
2015/5/7,98.87,99.8,98.43,99.26,93.799,0.17%,292739
2015/5/8,100.34,100.755,99.48,99.62,94.139,0.36%,356260
2015/5/11,99.31,99.95,98.99,99.1,93.647,-0.52%,340968
2015/5/12,98.85,99.489,97.94,99.22,93.761,0.12%,413730
2015/5/13,99.88,100.35,98.73,99.18,93.78,-0.04%,415835
2015/5/14,100.11,100.88,99.74,100.53,95.056,1.36%,852400
2015/5/15,100.5,100.73,99.56,100.64,95.16,0.11%,551885
2015/5/18,100.25,102.59,100.25,102.14,96.579,1.49%,553384
2015/5/19,102.25,102.7,101.32,102,96.446,-0.14%,483334
2015/5/20,102.12,102.4,101.08,101.32,95.803,-0.67%,482140
2015/5/21,101.04,102.35,101,101.41,95.888,0.09%,349556
2015/5/22,101.1,102.07,101.05,101.53,96.002,0.12%,403900
2015/5/26,100.96,101.37,99.66,100.47,95,-1.04%,459774
2015/5/27,100.77,101.48,100.41,101.41,95.888,0.94%,406950
2015/5/28,101.26,101.71,99.91,100.82,95.33,-0.58%,423603
2015/5/29,100.56,100.65,99.33,100.3,94.839,-0.52%,669219
2015/6/1,100.5,100.5,99.3,99.86,94.423,-0.44%,436116
2015/6/2,99.52,100.43,99.08,99.75,94.319,-0.11%,310449
2015/6/3,100.01,100.6,99.74,99.87,94.432,0.12%,334029
2015/6/4,98.87,99.61,98.03,98.82,93.439,-1.05%,375908
2015/6/5,98.54,99.86,98.27,99.77,94.338,0.96%,234629
2015/6/8,99.67,99.77,99.07,99.19,93.789,-0.58%,208696
2015/6/9,99.09,99.62,98.444,98.89,93.506,-0.30%,245712
2015/6/10,99.5,100.7,99.16,100.43,94.962,1.56%,385234
2015/6/11,100.53,101.53,100.53,101.19,95.68,0.76%,385754
2015/6/12,100.81,100.83,99.5,99.59,94.167,-1.58%,317745
2015/6/15,98.71,98.99,97.85,98.59,93.222,-1.00%,401906
2015/6/16,98.4,99.094,97.75,98.38,93.023,-0.21%,554619
2015/6/17,98.67,99.49,98.505,99.04,93.647,0.67%,608942
2015/6/18,99.38,99.75,98.809,99.38,93.969,0.34%,407981
2015/6/19,99.54,99.74,98.68,98.73,93.354,-0.65%,490460
2015/6/22,99.54,99.73,98.32,98.66,93.288,-0.07%,518615
2015/6/23,98.91,99.75,98.79,99.36,93.95,0.71%,417164
2015/6/24,99.26,99.38,97.66,97.83,92.503,-1.54%,354500
2015/6/25,97.95,98.13,95.6,95.76,90.546,-2.12%,512568
2015/6/26,95.94,96.01,95.433,95.52,90.319,-0.25%,453941
2015/6/29,94.81,95.16,93.49,93.55,88.456,-2.06%,537211
2015/6/30,95.05,95.057,94.01,94.24,89.109,0.74%,798435
2015/7/1,95.22,95.54,93.77,94.11,88.986,-0.14%,558194
2015/7/2,94.45,94.57,93.73,94.42,89.279,0.33%,396997
2015/7/6,93.62,95.01,93.16,93.94,88.825,-0.51%,325898
2015/7/7,93.86,94.35,92.55,94.27,89.137,0.35%,322489
2015/7/8,93.34,93.82,92.12,92.76,87.709,-1.60%,426120
2015/7/9,93.95,94.185,93.17,93.2,88.125,0.47%,349438
2015/7/10,94.24,94.75,93.51,94.18,89.052,1.05%,339647
2015/7/13,94.87,96.255,94.285,95.48,90.281,1.38%,413116
2015/7/14,95.44,96.18,95.06,95.81,90.593,0.35%,294264
