Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,32.38,32.71,32.22,32.51,32.51,-0.12%,2319529
2015/3/25,32.52,32.55,31.15,31.55,31.55,-2.95%,5454845
2015/3/26,31.35,31.48,30.6,30.93,30.93,-1.97%,5427210
2015/3/27,30.83,31.67,30.64,31.27,31.27,1.10%,3424919
2015/3/30,31.32,31.64,31.01,31.09,31.09,-0.58%,2484042
2015/3/31,31.06,31.21,30.67,30.76,30.76,-1.06%,3194016
2015/4/1,30.83,31.13,30.51,30.91,30.91,0.49%,3273049
2015/4/2,31.17,32.185,30.71,32.15,32.15,4.01%,4459436
2015/4/6,31.89,32.96,31.68,32.71,32.71,1.74%,5449353
2015/4/7,32.64,33.21,32.39,32.92,32.92,0.64%,4396613
2015/4/8,32.92,33.25,32.72,32.84,32.84,-0.24%,3646527
2015/4/9,32.88,33.25,32.72,33.21,33.21,1.13%,2352166
2015/4/10,33.3,33.31,32.91,33.04,33.04,-0.51%,2255871
2015/4/13,33.1,33.5,32.8,33.03,33.03,-0.03%,2797094
2015/4/14,32.87,33.21,32.435,32.94,32.94,-0.27%,5981286
2015/4/15,33,33.68,32.87,33.38,33.38,1.34%,2540845
2015/4/16,33.25,33.5,32.97,33.18,33.18,-0.60%,2475406
2015/4/17,32.89,33.08,32.18,32.8,32.8,-1.15%,4823241
2015/4/20,33.06,34.31,33,33.96,33.96,3.54%,6742397
2015/4/21,33.96,34.05,33.37,33.48,33.48,-1.41%,2671044
2015/4/22,33.49,33.71,33.13,33.53,33.53,0.15%,2310653
2015/4/23,33.38,34.075,33.22,33.64,33.64,0.33%,3190176
2015/4/24,33.57,33.6,32.7,32.71,32.71,-2.76%,3250091
2015/4/27,32.81,33.03,32.15,32.24,32.24,-1.44%,2328196
2015/4/28,31.92,32.09,31.25,31.7,31.7,-1.67%,10121274
2015/4/29,31.61,32.355,31.53,32.19,32.19,1.55%,4865323
2015/4/30,32.04,32.485,31.98,32.36,32.36,0.53%,4940799
2015/5/1,32.58,32.9,32.34,32.74,32.74,1.17%,3337916
2015/5/4,32.89,33.41,32.69,33.37,33.37,1.92%,4129139
2015/5/5,33.57,33.93,32.57,32.59,32.59,-2.34%,8660006
2015/5/6,32.6,32.76,31.64,32,32,-1.81%,7036704
2015/5/7,32.06,32.06,31.21,31.505,31.505,-1.55%,4257873
2015/5/8,31.86,31.86,31.28,31.33,31.33,-0.56%,3312117
2015/5/11,31.35,31.64,30.73,30.775,30.775,-1.77%,2770048
2015/5/12,30.89,32.62,30.55,32.02,32.02,4.05%,15921441
2015/5/13,32,32.14,31.21,31.44,31.44,-1.81%,5184600
2015/5/14,31.51,31.8,31.219,31.4,31.4,-0.13%,3184906
2015/5/15,31.36,31.76,31.235,31.755,31.755,1.13%,2872553
2015/5/18,31.57,33.075,31.52,32.98,32.98,3.86%,5038971
2015/5/19,32.78,33.58,32.59,33.33,33.33,1.06%,4240435
2015/5/20,33.51,33.77,33.33,33.57,33.57,0.72%,2993154
2015/5/21,33.49,33.72,33.2,33.3,33.3,-0.80%,3036846
2015/5/22,33.3,33.44,32.88,33.15,33.15,-0.45%,2055633
2015/5/26,33.1,33.2,32.665,32.85,32.85,-0.90%,1991970
2015/5/27,32.9,33.25,32.75,33.1,33.1,0.76%,1909427
2015/5/28,33.09,33.24,32.97,33.05,33.05,-0.15%,1667634
2015/5/29,33.1,34.08,33.03,33.94,33.94,2.69%,5511183
2015/6/1,34.07,34.28,33.8,33.93,33.93,-0.03%,2863760
2015/6/2,33.92,34.225,33.61,33.95,33.95,0.06%,2067786
2015/6/3,33.88,34.15,33.58,33.97,33.97,0.06%,2199516
2015/6/4,33.65,34.06,33.511,33.86,33.86,-0.32%,2600331
2015/6/5,33.77,34.79,33.54,34.45,34.45,1.74%,3724455
2015/6/8,34.4,34.5,33.6,33.775,33.775,-1.96%,3220433
2015/6/9,33.93,33.93,33.15,33.44,33.44,-0.99%,2025643
2015/6/10,33.57,33.65,33.08,33.23,33.23,-0.63%,1797201
2015/6/11,33.38,33.48,32.61,32.96,32.96,-0.81%,2196766
2015/6/12,32.95,33,32.395,32.505,32.505,-1.38%,2793547
2015/6/15,32.41,32.92,32.08,32.73,32.73,0.69%,2528678
2015/6/16,32.76,33.01,32.48,32.89,32.89,0.49%,1695367
2015/6/17,32.85,33.45,32.84,33.34,33.34,1.37%,2289919
2015/6/18,33.47,34.1,33.35,33.9,33.9,1.68%,2098714
2015/6/19,33.88,34.07,33.55,33.905,33.905,0.01%,2286024
2015/6/22,33.36,34.373,33.22,33.94,33.94,0.10%,1942165
2015/6/23,34.03,34.1,33.57,34.04,34.04,0.29%,2585659
2015/6/24,34.1,34.12,33.645,33.75,33.75,-0.85%,1802926
2015/6/25,33.92,33.92,33.5,33.6,33.6,-0.44%,2324325
2015/6/26,33.71,34.17,33.46,33.84,33.84,0.71%,6361240
2015/6/29,34.25,34.49,33.13,33.215,33.215,-1.85%,3132797
2015/6/30,33.54,33.67,33.085,33.26,33.26,0.14%,3228024
2015/7/1,33.44,33.57,32.99,33.29,33.29,0.09%,3907437
2015/7/2,33.45,33.93,32.92,33.18,33.18,-0.33%,3534438
2015/7/6,32.99,33.54,32.86,33.09,33.09,-0.27%,2403577
2015/7/7,33.18,33.885,32.45,33.8,33.8,2.15%,3661982
2015/7/8,33.73,34.26,32.71,32.78,32.78,-3.02%,2876545
2015/7/9,32.97,33.23,32.5,32.53,32.53,-0.76%,2692893
2015/7/10,32.94,33.54,32.77,33.38,33.38,2.61%,2098077
2015/7/13,33.59,34,33.47,33.53,33.53,0.45%,2684578
2015/7/14,33.73,34.17,33.58,34.01,34.01,1.43%,2230069
2015/7/15,34.12,34.35,33.84,33.92,33.92,-0.26%,1749122
2015/7/16,34.2,34.94,34,34.8,34.8,2.59%,2146377
2015/7/17,34.18,34.7,33.17,33.31,33.31,-4.28%,3336762
