Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,75.163,75.646,73.741,74.029,62.314,-1.71%,2327893
2015/3/25,74.482,74.482,71.493,71.519,60.202,-3.39%,2845227
2015/3/26,70.098,71.489,69.244,70.779,59.579,-1.03%,4691334
2015/3/27,71.247,71.353,69.819,70.091,59,-0.97%,2665045
2015/3/30,70.544,70.741,69.637,70.242,59.127,0.22%,2364638
2015/3/31,69.486,69.584,68.239,68.791,58.223,-2.07%,3186952
2015/4/1,68.45,69.811,67.891,69.803,59.081,1.47%,3773092
2015/4/2,69.38,70.529,69.312,70.295,59.496,0.70%,2753799
2015/4/6,69.66,70.711,69.41,70.438,59.618,0.20%,2268548
2015/4/7,70.59,71.678,70.446,71.134,60.207,0.99%,2670795
2015/4/8,71.368,71.504,70.658,70.983,60.079,-0.21%,2706371
2015/4/9,70.665,71.519,70.333,71.066,60.149,0.12%,2700396
2015/4/10,71.527,72.933,71.391,72.479,61.345,1.99%,2798503
2015/4/13,73.416,73.416,72.147,72.184,61.096,-0.41%,2343351
2015/4/14,73.031,73.297,71.995,72.683,61.518,0.69%,2195691
2015/4/15,73.545,75.238,73.545,74.856,63.357,2.99%,3358460
2015/4/16,73.983,74.543,73.598,73.946,62.586,-1.22%,3222056
2015/4/17,73.734,75.805,73.719,75.163,63.616,1.65%,3951757
2015/4/20,75.155,77.15,75.155,76.78,64.985,2.15%,3408290
2015/4/21,76.591,77.15,74.641,75.344,63.77,-1.87%,2554497
2015/4/22,75.45,75.933,74.86,75.82,64.173,0.63%,1685200
2015/4/23,75.556,76.251,75.004,75.79,64.147,-0.04%,1558790
2015/4/24,75.994,76.107,74.89,75.397,63.815,-0.52%,1272954
2015/4/27,75.253,75.533,74.255,74.754,63.271,-0.85%,1952754
2015/4/28,74.422,74.535,73.167,73.998,62.631,-1.01%,3279887
2015/4/29,71.376,73.28,70.93,72.434,61.307,-2.11%,6072028
2015/4/30,72.275,74.044,72.275,73.878,62.529,1.99%,4811982
2015/5/1,74.157,75.518,73.953,75.079,63.546,1.63%,3259864
2015/5/4,75.117,75.533,74.444,75.212,63.658,0.18%,2584746
2015/5/5,74.732,75.011,72.887,73.159,61.921,-2.73%,2860073
2015/5/6,73.258,73.598,71.088,71.708,60.693,-1.98%,3266893
2015/5/7,71.391,72.336,71.088,71.686,60.674,-0.03%,2036216
2015/5/8,72.487,73.197,72.381,72.963,61.755,1.78%,1541276
2015/5/11,73.122,74.006,72.449,72.596,61.444,-0.50%,1566574
2015/5/12,72.169,72.842,71.723,72.532,61.39,-0.09%,2033469
2015/5/13,72.865,73.477,72.407,72.532,61.39,0.00%,1861224
2015/5/14,73.28,74.414,72.812,74.384,62.957,2.55%,1716142
2015/5/15,74.543,74.565,73.556,73.825,62.484,-0.75%,2882912
2015/5/18,73.477,74.376,73.447,73.976,62.612,0.20%,1459275
2015/5/19,73.908,73.953,71.648,72.252,61.153,-2.33%,3573428
2015/5/20,72.396,72.646,71.587,71.678,60.667,-0.79%,1826835
2015/5/21,71.882,72.313,71.338,71.995,60.936,0.44%,1294398
2015/5/22,71.852,72.404,71.807,71.98,60.923,-0.02%,1172462
2015/5/26,71.988,72.562,69.924,70.442,59.621,-2.14%,2617080
2015/5/27,70.824,71.55,70.401,71.33,60.373,1.26%,1779018
2015/5/28,73.749,75.404,73.681,75.004,63.482,5.15%,5204884
2015/5/29,74.732,74.785,73.039,73.59,62.286,-1.89%,3936972
2015/6/1,73.772,73.961,72.857,73.416,62.139,-0.24%,1894477
2015/6/2,73.311,73.545,72.955,73.28,62.023,-0.19%,1358964
2015/6/3,73.84,74.218,73.205,74.18,62.785,1.23%,1884429
2015/6/4,73.545,74.029,71.512,72.109,61.032,-2.79%,2443850
2015/6/5,72.109,72.245,71.255,71.708,60.693,-0.56%,1391179
2015/6/8,71.542,72.026,69.826,69.992,59.241,-2.39%,2322672
2015/6/9,69.955,70.181,69.093,69.569,58.882,-0.60%,2073479
2015/6/10,70.31,71.119,69.622,70.748,59.88,1.69%,2415689
2015/6/11,70.711,71.701,70.711,71.398,60.43,0.92%,1713562
2015/6/12,70.695,70.967,69.637,70.302,59.503,-1.54%,1995099
2015/6/15,69.713,69.826,69.033,69.35,58.697,-1.35%,1715891
2015/6/16,69.146,69.728,68.776,68.821,58.249,-0.76%,1868406
2015/6/17,69.138,70.582,68.98,69.554,58.869,1.07%,2348178
2015/6/18,69.622,70.159,68.859,69.856,59.125,0.43%,2466049
2015/6/19,69.796,69.909,68.707,68.798,58.23,-1.51%,3427279
2015/6/22,69.32,69.471,68.541,69.237,58.601,0.64%,1472615
2015/6/23,68.851,69.033,66.916,66.984,56.694,-3.25%,3896663
2015/6/24,66.924,67.128,66.092,66.311,56.125,-1.00%,2556579
2015/6/25,66.629,66.629,64.664,64.966,54.986,-2.03%,3477938
2015/6/26,64.21,64.883,63.394,63.832,54.027,-1.75%,3857889
2015/6/29,62.971,63.099,61.557,61.95,52.434,-2.95%,4464464
2015/6/30,61.829,62.268,59.206,59.274,50.489,-4.32%,5698917
2015/7/1,59.826,60.053,59.161,60.045,51.145,1.30%,4896084
2015/7/2,60.469,61.943,60.295,61.126,52.066,1.80%,4367932
2015/7/6,60.333,60.469,59.221,60.329,51.387,-1.30%,4480867
2015/7/7,60.348,60.567,58.398,60.333,51.39,0.01%,4439165
2015/7/8,59.947,60.265,59.101,59.191,50.418,-1.89%,3082226
2015/7/9,60.265,60.272,58.458,58.466,49.8,-1.22%,2786974
