Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,50.05,50.45,49.42,49.62,35.684,-1.10%,1518433
2015/3/25,49.63,50.07,49.055,49.09,35.303,-1.07%,1051543
2015/3/26,48.99,49.37,48.63,48.87,35.145,-0.45%,1611256
2015/3/27,48.88,49.8,48.78,49.45,35.562,1.19%,1753453
2015/3/30,49.56,49.97,49.3,49.73,35.763,0.57%,1075547
2015/3/31,49.64,50.08,49.18,49.5,35.598,-0.46%,2133040
2015/4/1,49.49,50.03,48.88,49.93,35.907,0.87%,1373552
2015/4/2,50.01,50.13,49.74,49.79,35.807,-0.28%,1258080
2015/4/6,50,50.655,49.93,50.23,36.123,0.88%,1262789
2015/4/7,50.21,50.26,49.51,49.54,35.627,-1.37%,934880
2015/4/8,49.52,49.67,49.056,49.36,35.497,-0.36%,1287675
2015/4/9,49.41,49.41,48.77,49.05,35.274,-0.63%,976234
2015/4/10,49.22,49.96,49.17,49.65,35.706,1.22%,1317399
2015/4/13,49.64,50.04,49.41,49.43,35.548,-0.44%,1145095
2015/4/14,49.68,50.09,49.38,49.78,35.799,0.71%,1172555
2015/4/15,49.82,50.39,49.66,49.7,35.742,-0.16%,1082984
2015/4/16,49.7,49.78,48.94,49.45,35.562,-0.50%,1149144
2015/4/17,49.22,49.96,49.22,49.54,35.627,0.18%,1117140
2015/4/20,49.73,50.8,49.68,50.33,36.195,1.59%,1178142
2015/4/21,50.39,50.91,49.85,50.17,36.08,-0.32%,1724929
2015/4/22,50.32,50.46,49.83,50.28,36.159,0.22%,967354
2015/4/23,50.29,50.95,50.19,50.66,36.432,0.76%,1326429
2015/4/24,50.57,51.54,50.35,51.11,36.756,0.89%,1667911
2015/4/27,51.15,51.2,49.92,50.21,36.109,-1.76%,1466859
2015/4/28,49.89,50.49,49.69,50.34,36.202,0.26%,1129600
2015/4/29,49.96,50.07,49.375,49.9,35.886,-0.87%,1101570
2015/4/30,49.77,49.83,48.59,49.12,35.325,-1.56%,2045474
2015/5/1,49.04,49.66,48.93,49.6,35.67,0.98%,1700774
2015/5/4,49.56,50.31,49.47,49.85,35.85,0.50%,1491401
2015/5/5,49.54,50.245,47.835,47.97,34.498,-3.77%,2771588
2015/5/6,47.91,48.365,47.08,47.65,34.268,-0.67%,1848334
2015/5/7,47.75,48.28,47.74,47.8,34.375,0.31%,1234287
