Date,Open,High,Low,Close,Adj. Close,Change,Volume
2016/1/6,125.24,125.54,119.94,119.98,105.47,-4.66%,2386461
2016/1/7,116.38,119.74,114.93,114.95,101.048,-4.19%,2489451
2016/1/8,115.48,117.44,113.5,116.62,102.516,1.45%,2006267
2016/1/11,117.01,117.33,114.09,114.97,101.066,-1.41%,1408550
2016/1/12,115.51,116.06,114.5,115.55,101.575,0.50%,1098024
2016/1/13,116.46,117.065,112.59,112.85,99.202,-2.34%,949576
2016/1/14,113.51,115.03,110.05,114.38,100.547,1.36%,785469
2016/1/15,113.33,114.88,111.92,112.53,98.921,-1.62%,1093741
2016/1/19,113.66,115.87,109.87,110.38,97.031,-1.91%,1523527
2016/1/20,109.06,111.6,108.32,109.3,96.081,-0.98%,1654181
2016/1/21,109.73,110.58,108.315,110,96.697,0.64%,944335
2016/1/22,111.88,112.949,110.19,111.95,98.411,1.77%,745066
2016/1/25,111.32,114.63,110,110.12,96.802,-1.63%,703799
2016/1/26,110.42,111.4,107.303,111,97.576,0.80%,563603
2016/1/27,110.77,112.57,109.02,110.71,97.321,-0.26%,896948
2016/1/28,110.9,112.97,109.9,112.58,98.965,1.69%,680420
2016/1/29,113.35,114.59,111.67,114.47,100.626,1.68%,749928
2016/2/1,114,114.85,112.9,114.5,100.652,0.03%,574170
2016/2/2,113.25,113.86,109.75,110.56,97.189,-3.44%,694826
2016/2/3,113.38,114.64,109.64,114.05,100.257,3.16%,896326
2016/2/4,114.08,116.32,114.08,115.71,101.716,1.46%,956336
2016/2/5,115.12,116.49,109.71,114.02,100.23,-1.46%,997061
2016/2/8,113.3,113.3,110.46,111.16,97.716,-2.51%,1200452
2016/2/9,111.17,112.108,109.64,110.65,97.268,-0.46%,1725244
2016/2/10,106.73,112.11,106.36,107.52,94.517,-2.83%,1945964
2016/2/11,105.63,109.255,104.11,107.13,94.174,-0.36%,1319536
2016/2/12,108.56,109.428,107.07,107.84,94.798,0.66%,922402
2016/2/16,109.11,111.3,107.01,110.77,97.373,2.72%,1185091
2016/2/17,110.83,112.11,107.97,111.24,97.787,0.42%,922004
2016/2/18,111.12,112.2,108.93,111.6,98.103,0.32%,441403
2016/2/19,111.37,112.395,107.28,110.33,96.987,-1.14%,1244745
2016/2/22,111.36,113.23,111.01,113.04,99.369,2.46%,681534
2016/2/23,112.37,112.8,111.35,111.89,98.358,-1.02%,411222
2016/2/24,110.77,112.49,109.82,111.56,98.068,-0.29%,447282
2016/2/25,111.6,112.99,110.75,112.88,99.228,1.18%,559882
2016/2/26,113.34,114.18,111.01,112.75,99.114,-0.12%,460167
2016/2/29,113.04,115.36,111.65,113.32,99.615,0.51%,971565
2016/3/1,114.27,115.57,112.65,115.51,101.54,1.93%,694078
2016/3/2,115.35,117.09,115.2,116.78,102.657,1.10%,1159689
2016/3/3,116.49,117.67,115.42,117,102.85,0.19%,884727
2016/3/4,116.61,117.48,115.57,117.19,103.017,0.16%,692422
2016/3/7,116.05,117.48,115.99,116.95,102.806,-0.20%,898185
2016/3/8,116.5,117.37,115.45,116.71,102.595,-0.21%,841579
2016/3/9,117.05,117.31,115.5,116.49,102.402,-0.19%,796520
2016/3/10,116.91,118,114.14,116.82,102.692,0.28%,416820
2016/3/11,117.93,120.76,116.63,120.62,106.032,3.25%,590200
2016/3/14,120.42,121.04,118.6,120.63,106.041,0.01%,495103
2016/3/15,119.84,120.76,118.09,120.7,106.103,0.06%,515925
2016/3/16,120.35,121.04,119.01,120.82,106.208,0.10%,562061
2016/3/17,121.01,124.41,119.45,124.03,109.03,2.66%,809321
2016/3/18,124.25,124.56,120.09,121.27,106.604,-2.23%,1607637
2016/3/21,120.86,121.84,119.14,121.45,106.762,0.15%,1001334
