Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,114.573,115.223,113.893,113.893,105.395,-0.98%,1176569
2015/3/25,113.913,114.757,111.845,111.951,103.599,-1.71%,1040197
2015/3/26,111.981,113.223,111.32,112.282,103.904,0.30%,816687
2015/3/27,112.33,114.495,112.165,114.078,105.566,1.60%,1327567
2015/3/30,114.621,115.524,114.34,115.117,106.527,0.91%,744793
2015/3/31,114.427,114.767,113.709,114.097,105.584,-0.89%,989624
2015/4/1,114.777,115.019,112.34,112.806,104.389,-1.13%,1080985
2015/4/2,112.951,114.233,112.408,113.515,105.045,0.63%,651372
2015/4/6,112.757,114.204,112.447,113.942,105.44,0.38%,641175
2015/4/7,113.777,114.553,112.592,112.631,104.227,-1.15%,653741
2015/4/8,112.709,113.485,111.874,112.738,104.326,0.10%,692160
2015/4/9,112.913,113.903,112.223,113.786,105.297,0.93%,866024
2015/4/10,114.107,114.427,113.66,114.029,105.521,0.21%,987358
2015/4/13,114.311,114.893,112.592,112.825,104.407,-1.06%,1212001
2015/4/14,113.01,113.699,111.874,112.583,104.182,-0.21%,1278024
2015/4/15,112.796,113.223,112.184,112.252,103.877,-0.29%,1016404
2015/4/16,112.068,112.466,111.631,112,103.643,-0.22%,1032678
2015/4/17,111.641,111.748,110.398,111.272,102.97,-0.65%,1125378
2015/4/20,111.728,113.058,111.534,112.544,104.147,1.14%,600799
2015/4/21,113,114.359,112.951,113.951,105.449,1.25%,849132
2015/4/22,113.709,114.825,113.175,114.068,105.557,0.10%,753548
2015/4/23,113.942,115.631,113.311,115.117,106.527,0.92%,762715
2015/4/24,114.65,115.456,114.301,115.301,106.698,0.16%,759728
2015/4/27,115.534,115.534,112.961,113.214,104.766,-1.81%,845012
2015/4/28,112.66,113.748,111.184,113.33,104.874,0.10%,1164106
2015/4/29,113.039,113.388,111.485,111.981,103.625,-1.19%,1344253
2015/4/30,108.34,108.748,105.379,106.641,98.684,-4.77%,3417128
2015/5/1,106.961,107.893,106.291,107.214,99.214,0.54%,1455905
2015/5/4,107.495,108.398,107.194,107.456,99.439,0.23%,1336631
2015/5/5,107.466,107.641,106.359,107.291,99.286,-0.15%,2179686
2015/5/6,107.631,108.087,106.049,106.893,98.918,-0.37%,1976982
2015/5/7,107.165,108.087,106.864,107.806,99.762,0.85%,1718349
2015/5/8,108.932,109.806,108.456,109.66,101.478,1.72%,1282041
2015/5/11,109.291,110.437,109.107,109.883,101.685,0.20%,1451888
2015/5/12,109.233,109.65,108.379,108.971,100.84,-0.83%,2089664
2015/5/13,109.359,109.427,108.476,108.583,100.679,-0.36%,981693
2015/5/14,109.456,110.34,108.874,110.262,102.236,1.55%,1308615
2015/5/15,110.223,110.447,109.524,109.883,101.885,-0.34%,806799
2015/5/18,110.058,111.223,109.825,110.951,102.875,0.97%,615940
2015/5/19,110.883,111.417,110.417,111.01,102.929,0.05%,728107
2015/5/20,111.049,111.563,110.602,111.01,102.929,0.00%,454436
2015/5/21,110.699,111.194,110.583,111.126,103.037,0.10%,601520
2015/5/22,110.757,111.136,109.932,110.456,102.416,-0.60%,1043699
2015/5/26,110.476,110.476,109.427,109.796,101.804,-0.60%,1170698
2015/5/27,110.379,111.097,109.427,110.942,102.866,1.04%,895379
2015/5/28,110.631,111.019,109.466,110.087,102.074,-0.77%,1885827
2015/5/29,109.699,111.524,109.282,110.767,102.704,0.62%,1850601
2015/6/1,111.243,111.864,110.621,111.427,103.316,0.60%,913713
2015/6/2,110.816,111.485,110.67,110.835,102.767,-0.53%,704932
2015/6/3,110.942,111.34,110.35,110.583,102.533,-0.23%,741600
2015/6/4,109.641,110.864,109.534,109.777,101.786,-0.73%,922571
2015/6/5,109.709,110.097,109.068,109.951,101.948,0.16%,980560
2015/6/8,110.233,111.136,109.796,109.845,101.849,-0.10%,902383
2015/6/9,109.777,110.573,109.291,109.359,101.399,-0.44%,881062
2015/6/10,109.961,110.689,109.311,110.35,102.317,0.91%,1339206
2015/6/11,110.573,111.029,110.301,110.786,102.722,0.40%,1447871
2015/6/12,110.029,110.398,108.786,108.932,101.003,-1.67%,1280290
2015/6/15,108.272,108.757,107.718,108.417,100.526,-0.47%,1133103
2015/6/16,108.388,109.553,108.039,109.272,101.318,0.79%,778062
2015/6/17,109.728,109.981,108.485,109.223,101.273,-0.04%,676092
2015/6/18,109.748,110.456,109.67,110,101.993,0.71%,1043287
2015/6/19,110.097,110.456,109.291,109.379,101.417,-0.56%,1665098
2015/6/22,109.981,110.602,109.689,110.097,102.083,0.66%,849338
2015/6/23,110.388,110.456,108.932,109.398,101.435,-0.63%,850471
2015/6/24,109.223,112.136,108.893,110.214,102.191,0.75%,3591404
2015/6/25,110.223,110.883,109.631,109.971,101.966,-0.22%,1627812
2015/6/26,110.388,110.767,109.816,110.252,102.227,0.26%,1856678
2015/6/29,103.883,111.078,94.641,106.107,98.383,-3.76%,1608950
2015/6/30,107.282,107.67,105.583,106.049,98.329,-0.05%,2292038
2015/7/1,106.796,108.107,105.835,106.029,98.311,-0.02%,1277592
2015/7/2,106.796,107.748,103.883,105.039,97.393,-0.93%,1444520
